lId	iReport	iSensitivity	iCalibration	iBifurcation	sName	sUnit	sTargetValue	sEquation	sDescription	sRemark	-1	code versie 5.09.00.00	code versie 5.09.00.01	code versie 5.09.00.02	code versie 5.09.00.03	v00-v01	v00-v02	v00-v03	Per unit of length	Conc per volume	Conc per area	Open water	Sediment	Marsh	Marsh sediment	Total	Depth	NH4	N)3	PO4	Adsorbed P	SiO4	Oxygen	Detritus	Humus	Inorganic matter	Diatoms	Green algae	Blue greens	Vegetation	Phragmites	Zooplankton	Zoobethos	Zoop/benth fish	Predatory fish	Mass balance	Water	Inorganic matter	Dry weight	Nitrogen	Phosphorus	Silica	Oxygen	Main module	Transport processes	Abiotic and microbial module	Algal module	Vegetation module	Food web module	Marsh water module	Marsh vegetation module	_InclTran_	_InclPrim_	_InclPhytS_	_InclBed_	_InclWeb_	_InclMarsh_	short_derivName	Duflow		
0	0	0	0	0	_bPorS_	m3_water/m3_sediment	0	-	porosity	Main_InitCalc	-1	_bPorS_ = (1.0 - _fDTotS0_) * (_fDOrgS0_ * _cRhoOM_ + (1 - _fDOrgS0_) * _cRhoIM_) / _cRhoWat_ / ( _fDTotS0_ + (1.0 - _fDTotS0_) * (_fDOrgS0_ * _cRhoOM_ + (1 - _fDOrgS0_) * _cRhoIM_) / _cRhoWat_ )	_bPorS_ = (1.0 - _fDTotS0_) * (_fDOrgS0_ * _cRhoOM_ + (1 - _fDOrgS0_) * _cRhoIM_) / _cRhoWat_ / ( _fDTotS0_ + (1.0 - _fDTotS0_) * (_fDOrgS0_ * _cRhoOM_ + (1 - _fDOrgS0_) * _cRhoIM_) / _cRhoWat_ )	_bPorS_ = (1.0 - _fDTotS0_) * (_fDOrgS0_ * _cRhoOM_ + (1 - _fDOrgS0_) * _cRhoIM_) / _cRhoWat_ / ( _fDTotS0_ + (1.0 - _fDTotS0_) * (_fDOrgS0_ * _cRhoOM_ + (1 - _fDOrgS0_) * _cRhoIM_) / _cRhoWat_ )	_bPorS_ = (1.0 - _fDTotS0_) * (_fDOrgS0_ * _cRhoOM_ + (1 - _fDOrgS0_) * _cRhoIM_) / _cRhoWat_ / ( _fDTotS0_ + (1.0 - _fDTotS0_) * (_fDOrgS0_ * _cRhoOM_ + (1 - _fDOrgS0_) * _cRhoIM_) / _cRhoWat_ )	TRUE	TRUE	TRUE																																																		bPorS	Initialization		
1	0	0	0	0	_bPorCorS_	-	0	-	sediment_porosity_corrected_for_tortuosity	Main_InitCalc	-1	_bPorCorS_ = _POW_ (_bPorS_ _POWOPERATOR_ (_bPorS_ + 1.0))	_bPorCorS_ = _POW_ (_bPorS_ _POWOPERATOR_ (_bPorS_ + 1.0))	_bPorCorS_ = _POW_ (_bPorS_ _POWOPERATOR_ (_bPorS_ + 1.0))	_bPorCorS_ = _POW_ (_bPorS_ _POWOPERATOR_ (_bPorS_ + 1.0))	TRUE	TRUE	TRUE																																																		bPorCrS	Initialization		
2	0	0	0	0	_sTime_	day	0	-	time	Main_aux	-1	_sTime_ = _time_	_sTime_ = _time_	_sTime_ = _time_	_sTime_ = _time_	TRUE	TRUE	TRUE																																																		sTime	Forcing		
3	0	0	0	0	_TimeYears_	year	0	-	time_in_years	Main_aux	-1	_TimeYears_ = _sTime_ / _DaysPerYear_	_TimeYears_ = _sTime_ / _DaysPerYear_	_TimeYears_ = _sTime_ / _DaysPerYear_	_TimeYears_ = _sTime_ / _DaysPerYear_	TRUE	TRUE	TRUE																																																		TimeYears	Forcing		
4	0	0	0	0	_Day_	day	0	-	time_(daynumber)_within_the_year_	Main_aux	-1	_Day_ = _sTime_ - _FLOOR_(_TimeYears_) * _DaysPerYear_	_Day_ = _sTime_ - _FLOOR_(_TimeYears_) * _DaysPerYear_	_Day_ = _sTime_ - _FLOOR_(_TimeYears_) * _DaysPerYear_	_Day_ = _sTime_ - _FLOOR_(_TimeYears_) * _DaysPerYear_	TRUE	TRUE	TRUE																																																		Day	Forcing		
5	0	0	0	0	_uTm_	oC	0	-	forcing_function_temperature	Main_aux	-1	_uTm_ = _IF_ (_ReadTemp_ _EQ_ _TRUE_ ) _THEN_ _mTemp_ _ELSE_ _cTmAve_ - _cTmVar_ * _COS_(2.0*_Pi_*(_sTime_ + _TenDays_ - _cTimeLag_) / _DaysPerYear_) _ENDIF_	_uTm_ = _IF_ (_ReadTemp_ _EQ_ _TRUE_ ) _THEN_ _mTemp_ _ELSE_ _cTmAve_ - _cTmVar_ * _COS_(2.0*_Pi_*(_sTime_ + _TenDays_ - _cTimeLag_) / _DaysPerYear_) _ENDIF_	_uTm_ = _IF_ (_ReadTemp_ _EQ_ _TRUE_ ) _THEN_ _mTemp_ _ELSE_ _cTmAve_ - _cTmVar_ * _COS_(2.0*_Pi_*(_sTime_ + _TenDays_ - _cTimeLag_) / _DaysPerYear_) _ENDIF_	_uTm_ = _IF_ (_ReadTemp_ _EQ_ _TRUE_ ) _THEN_ _mTemp_ _ELSE_ _cTmAve_ - _cTmVar_ * _COS_(2.0*_Pi_*(_sTime_ + _TenDays_ - _cTimeLag_) / _DaysPerYear_) _ENDIF_	TRUE	TRUE	TRUE																																																		uTm	Forcing		
6	0	0	0	0	_uVWind_	m/s	0	-	forcing_function_wind_speed	Main_aux	-1	_uVWind_ = _IF_ (_ReadVWind_ _EQ_ _TRUE_)_THEN_ _mVWind_ _ELSE_ _cVWind_ _ENDIF_	_uVWind_ = _IF_ (_ReadVWind_ _EQ_ _TRUE_)_THEN_ _mVWind_ _ELSE_ _cVWind_ _ENDIF_	_uVWind_ = _IF_ (_ReadVWind_ _EQ_ _TRUE_)_THEN_ _mVWind_ _ELSE_ _cVWind_ _ENDIF_	_uVWind_ = _IF_ (_ReadVWind_ _EQ_ _TRUE_)_THEN_ _mVWind_ _ELSE_ _cVWind_ _ENDIF_	TRUE	TRUE	TRUE																																																		uVWind	Forcing		
7	0	0	0	0	_ufDay_	h/24h	0	-	day_length	Main_aux	-1	_ufDay_ = _cfDayAve_ - _cfDayVar_ * _COS_(2.0*_Pi_*(_sTime_+_TenDays_) / _DaysPerYear_)	_ufDay_ = _cfDayAve_ - _cfDayVar_ * _COS_(2.0*_Pi_*(_sTime_+_TenDays_) / _DaysPerYear_)	_ufDay_ = _cfDayAve_ - _cfDayVar_ * _COS_(2.0*_Pi_*(_sTime_+_TenDays_) / _DaysPerYear_)	_ufDay_ = _cfDayAve_ - _cfDayVar_ * _COS_(2.0*_Pi_*(_sTime_+_TenDays_) / _DaysPerYear_)	TRUE	TRUE	TRUE																																																		ufD	Forcing		
8	0	0	0	0	_uLDay_	total_J/m2/d	0	-	total_daily_radiation	Main_aux	-1	_uLDay_ = _IF_ (_ReadLOut_ _EQ_ _TRUE_ ) _THEN_ 0.0 _ELSE_ _cLDayAve_ - _cLDayVar_ * _COS_(2.0*_Pi_*(_sTime_+_TenDays_) / _DaysPerYear_) _ENDIF_	_uLDay_ = _IF_ (_ReadLOut_ _EQ_ _TRUE_ ) _THEN_ 0.0 _ELSE_ _cLDayAve_ - _cLDayVar_ * _COS_(2.0*_Pi_*(_sTime_+_TenDays_) / _DaysPerYear_) _ENDIF_	_uLDay_ = _IF_ (_ReadLOut_ _EQ_ _TRUE_ ) _THEN_ 0.0 _ELSE_ _cLDayAve_ - _cLDayVar_ * _COS_(2.0*_Pi_*(_sTime_+_TenDays_) / _DaysPerYear_) _ENDIF_	_uLDay_ = _IF_ (_ReadLOut_ _EQ_ _TRUE_ ) _THEN_ 0.0 _ELSE_ _cLDayAve_ - _cLDayVar_ * _COS_(2.0*_Pi_*(_sTime_+_TenDays_) / _DaysPerYear_) _ENDIF_	TRUE	TRUE	TRUE																																																		uLD	Forcing		
9	0	0	0	0	_uLOut_	total_J/m2/s_=_W/m2	0	-	average_light_intensity_during_daytime	Main_aux	-1	_uLOut_ = _IF_ (_ReadLOut_ _EQ_ _TRUE_ ) _THEN_ _mLOut_ / _ufDay_ _ELSE_ _uLDay_ / _SecsPerDay_ / _ufDay_ _ENDIF_	_uLOut_ = _IF_ (_ReadLOut_ _EQ_ _TRUE_ ) _THEN_ _mLOut_ / _ufDay_ _ELSE_ _uLDay_ / _SecsPerDay_ / _ufDay_ _ENDIF_	_uLOut_ = _IF_ (_ReadLOut_ _EQ_ _TRUE_ ) _THEN_ _mLOut_ / _ufDay_ _ELSE_ _uLDay_ / _SecsPerDay_ / _ufDay_ _ENDIF_	_uLOut_ = _IF_ (_ReadLOut_ _EQ_ _TRUE_ ) _THEN_ _mLOut_ / _ufDay_ _ELSE_ _uLDay_ / _SecsPerDay_ / _ufDay_ _ENDIF_	TRUE	TRUE	TRUE																																																		uLOut	Forcing		
