lId	iReport	sName	sUnit	sEquation	sDescription	sRemark	-1	code versie 5.09.00	code versie 5.09.00	code versie 5.09.00	code versie 5.09.00	v00-v01	v00-v02	v00-v03	Main_InitCalc	Main_Settings	Main_InitTotals	Osiris_only	Per unit of length	Conc per volume	Conc per area	Open water	Sediment	Total	Depth	NH4	NO3	PO4	Adsorbed P	Oxygen	Detritus	Humus	Inorganic matter	Benthic algae	Phytoplankton	Rooted submerged macrophytes	Non-rooted submerged macrophytes	Characeans	floating plants	Nymphaeids	Helophytes	Mass balance	Water	Inorganic matter1	Dry weight	Nitrogen	Phosphorus	Oxygen	_InclTran_	_InclPrim_	_InclPhytS_	_InclBed_	_InclWeb_	_InclMarsh_
0	0	_bRhoSolidS0_	gSolid/m3Sed.	-	Average_density_of_solid_material	-	-1	_bRhoSolidS0_ = _fDOrgS0_ * _cRhoOM_ + (1 - _fDOrgS0_) * _cRhoIM_	_bRhoSolidS0_ = _fDOrgS0_ * _cRhoOM_ + (1 - _fDOrgS0_) * _cRhoIM_	_bRhoSolidS0_ = _fDOrgS0_ * _cRhoOM_ + (1 - _fDOrgS0_) * _cRhoIM_	_bRhoSolidS0_ = _fDOrgS0_ * _cRhoOM_ + (1 - _fDOrgS0_) * _cRhoIM_	TRUE	TRUE	TRUE	1					1			1																															
1	0	_bPorS0_	m3Wat./m3Sed.	-	Porosity	-	-1	_bPorS0_ = (1.0 - _fDTotS0_) * _bRhoSolidS0_ / _cRhoWat_ / ( _fDTotS0_ + (1.0 - _fDTotS0_) * _bRhoSolidS0_ / _cRhoWat_ )	_bPorS0_ = (1.0 - _fDTotS0_) * _bRhoSolidS0_ / _cRhoWat_ / ( _fDTotS0_ + (1.0 - _fDTotS0_) * _bRhoSolidS0_ / _cRhoWat_ )	_bPorS0_ = (1.0 - _fDTotS0_) * _bRhoSolidS0_ / _cRhoWat_ / ( _fDTotS0_ + (1.0 - _fDTotS0_) * _bRhoSolidS0_ / _cRhoWat_ )	_bPorS0_ = (1.0 - _fDTotS0_) * _bRhoSolidS0_ / _cRhoWat_ / ( _fDTotS0_ + (1.0 - _fDTotS0_) * _bRhoSolidS0_ / _cRhoWat_ )	TRUE	TRUE	TRUE	1					1			1																															
2	0	_bRhoTotS0_	gSolid/m3Sed.	-	Bulk_density_of_sediment	-	-1	_bRhoTotS0_ = _bRhoSolidS0_ * (1.0 - _bPorS0_)	_bRhoTotS0_ = _bRhoSolidS0_ * (1.0 - _bPorS0_)	_bRhoTotS0_ = _bRhoSolidS0_ * (1.0 - _bPorS0_)	_bRhoTotS0_ = _bRhoSolidS0_ * (1.0 - _bPorS0_)	TRUE	TRUE	TRUE	1					1			1																															
3	0	_bDTotS0_	gD/m2	-	Total_dry-weight_in_top_layer	-	-1	_bDTotS0_ = _bRhoTotS0_ * _cDepthS_	_bDTotS0_ = _bRhoTotS0_ * _cDepthS_	_bDTotS0_ = _bRhoTotS0_ * _cDepthS_	_bDTotS0_ = _bRhoTotS0_ * _cDepthS_	TRUE	TRUE	TRUE	1						1		1																						1									
4	0	_sDepthW0_	m	-	Depth_of_ditch_water	-	-1	_sDepthW0_ = _cDepthW0_	_sDepthW0_ = _cDepthW0_	_sDepthW0_ = _cDepthW0_	_sDepthW0_ = _cDepthW0_	TRUE	TRUE	TRUE		1			1			1			1																		1											
5	0	_sDIMW0_	gDIM/m3	-	Inorganic_matter_in_ditch_water	-	-1	_sDIMW0_ = _cDIMW0_	_sDIMW0_ = _cDIMW0_	_sDIMW0_ = _cDIMW0_	_sDIMW0_ = _cDIMW0_	TRUE	TRUE	TRUE		1				1		1											1											1										
6	0	_sDDetW0_	gDW/m3	-	Detritus_DW_in_ditch_water	-	-1	_sDDetW0_ = _cDDetW0_	_sDDetW0_ = _cDDetW0_	_sDDetW0_ = _cDDetW0_	_sDDetW0_ = _cDDetW0_	TRUE	TRUE	TRUE		1				1		1									1														1									
7	0	_sPDetW0_	gP/m3	-	Detritus_P_in_ditch_water	-	-1	_sPDetW0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_ ) _THEN_ _cPDDet0_ * _sDDetW0_ _ELSE_ _cPDetW0_ _ENDIF_	_sPDetW0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_ ) _THEN_ _cPDDet0_ * _sDDetW0_ _ELSE_ _cPDetW0_ _ENDIF_	_sPDetW0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_ ) _THEN_ _cPDDet0_ * _sDDetW0_ _ELSE_ _cPDetW0_ _ENDIF_	_sPDetW0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_ ) _THEN_ _cPDDet0_ * _sDDetW0_ _ELSE_ _cPDetW0_ _ENDIF_	TRUE	TRUE	TRUE	1					1		1									1																1							
8	0	_sNDetW0_	gN/m3	-	Detritus_N_in_ditch_water	-	-1	_sNDetW0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_ ) _THEN_ _cNDDet0_ * _sDDetW0_ _ELSE_ _cNDetW0_ _ENDIF_	_sNDetW0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_ ) _THEN_ _cNDDet0_ * _sDDetW0_ _ELSE_ _cNDetW0_ _ENDIF_	_sNDetW0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_ ) _THEN_ _cNDDet0_ * _sDDetW0_ _ELSE_ _cNDetW0_ _ENDIF_	_sNDetW0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_ ) _THEN_ _cNDDet0_ * _sDDetW0_ _ELSE_ _cNDetW0_ _ENDIF_	TRUE	TRUE	TRUE	1					1		1									1															1								
9	0	_sNH4W0_	gN/m3	-	N_in_NH4_in_ditch_water	-	-1	_sNH4W0_ = _cNH4W0_	_sNH4W0_ = _cNH4W0_	_sNH4W0_ = _cNH4W0_	_sNH4W0_ = _cNH4W0_	TRUE	TRUE	TRUE		1				1		1				1																				1								
