Type Id Name Set0 Set1 Set2 Set3 Rel0-1 Rel0-2 Rel0-3 Dif0-1 Dif0-2 Dif0-3
Parameter 0 _BeginTime_ 0 0 0 0 0 0 0 0 0 0
Parameter 1 _ConstDepth_ 1 1 1 1 0 0 0 0 0 0
Parameter 2 _ReadTemp_ 1 1 1 1 0 0 0 0 0 0
Parameter 3 _ReadLOut_ 1 1 1 1 0 0 0 0 0 0
Parameter 4 _ReadVWind_ 0 0 0 0 0 0 0 0 0 0
Parameter 5 _InitCalc_ 0 0 0 0 0 0 0 0 0 0
Parameter 6 _InclTran_ 1 1 1 1 0 0 0 0 0 0
Parameter 7 _ReadQIn_ 1 1 1 1 0 0 0 0 0 0
Parameter 8 _ReadQOut_ 1 1 1 1 0 0 0 0 0 0
Parameter 9 _ReadQEv_ 1 1 1 1 0 0 0 0 0 0
Parameter 10 _ReadPLoad_ 1 1 1 1 0 0 0 0 0 0
Parameter 11 _ReadNLoad_ 1 1 1 1 0 0 0 0 0 0
Parameter 12 _ReadNutFrac_ 0 0 0 0 0 0 0 0 0 0
Parameter 13 _ReadPLoadPhyt_ 0 0 0 0 0 0 0 0 0 0
Parameter 14 _ReadDLoadDet_ 1 1 1 1 0 0 0 0 0 0
Parameter 15 _ReadDLoadIM_ 1 1 1 1 0 0 0 0 0 0
Parameter 16 _UseSeasonLoad_ 0 0 0 0 0 0 0 0 0 0
Parameter 17 _UsePulseLoad_ 0 0 0 0 0 0 0 0 0 0
Parameter 18 _mTemp_ 3.2204 3.2204 3.2204 3.2204 0 0 0 0 0 0
Parameter 19 _mLOut_ 24.8032 24.8032 24.8032 24.8032 0 0 0 0 0 0
Parameter 20 _mVWind_ 0 0 0 0 0 0 0 0 0 0
Parameter 21 _mQIn_ 1.02346 1.02346 1.02346 1.02346 0 0 0 0 0 0
Parameter 22 _mQOut_ 0.983459 0.983459 0.983459 0.983459 0 0 0 0 0 0
Parameter 23 _mQEv_ 0.04 0.04 0.04 0.04 0 0 0 0 0 0
Parameter 24 _mPLoad_ 0.000281 0.000281 0.000281 0.000281 0 0 0 0 0 0
Parameter 25 _mPLoadPO4_ 0 0 0 0 0 0 0 0 0 0
Parameter 26 _mPLoadOrg_ 0 0 0 0 0 0 0 0 0 0
Parameter 27 _mPLoadPhytTot_ 0 0 0 0 0 0 0 0 0 0
Parameter 28 _mNLoad_ 0.005419 0.005419 0.005419 0.005419 0 0 0 0 0 0
Parameter 29 _mNLoadNH4_ 0 0 0 0 0 0 0 0 0 0
Parameter 30 _mNLoadNO3_ 0 0 0 0 0 0 0 0 0 0
Parameter 31 _mNLoadOrg_ 0 0 0 0 0 0 0 0 0 0
Parameter 32 _mDLoadDet_ 0.029178 0.029178 0.029178 0.029178 0 0 0 0 0 0
Parameter 33 _mDLoadIM_ 0.029178 0.029178 0.029178 0.029178 0 0 0 0 0 0
Parameter 34 _fDTotS0_ 0.3 0.3 0.3 0.3 0 0 0 0 0 0
Parameter 35 _fDOrgS0_ 0.1 0.1 0.1 0.1 0 0 0 0 0 0
Parameter 36 _fDDetS0_ 0.1 0.1 0.1 0.1 0 0 0 0 0 0
Parameter 37 _fPInorgS0_ 0.0005 0.0005 0.0005 0.0005 0 0 0 0 0 0
Parameter 38 _fPAdsS0_ 0.99 0.99 0.99 0.99 0 0 0 0 0 0
Parameter 39 _cPDDet0_ 0.0025 0.0025 0.0025 0.0025 0 0 0 0 0 0
Parameter 40 _cNDDet0_ 0.025 0.025 0.025 0.025 0 0 0 0 0 0
Parameter 41 _cPDHum0_ 0.005 0.005 0.005 0.005 0 0 0 0 0 0
Parameter 42 _cNDHum0_ 0.05 0.05 0.05 0.05 0 0 0 0 0 0
Parameter 43 _cPDPhyt0_ 0.01 0.01 0.01 0.01 0 0 0 0 0 0
Parameter 44 _cNDPhyt0_ 0.1 0.1 0.1 0.1 0 0 0 0 0 0
Parameter 45 _cPDElod0_ 0.002 0.002 0.002 0.002 0 0 0 0 0 0
Parameter 46 _cNDElod0_ 0.02 0.02 0.02 0.02 0 0 0 0 0 0
Parameter 47 _cPDChar0_ 0.002 0.002 0.002 0.002 0 0 0 0 0 0
