dTime	dValue	-1
0	0.078976244	-1
1	0.078976244	-1
2	0.078976244	-1
3	0.078976244	-1
4	0.078976244	-1
5	0.078976244	-1
6	0.078976244	-1
7	0.078976244	-1
8	0.078976244	-1
9	0.080105654	-1
10	0.078976244	-1
11	0.078976244	-1
12	0.093726613	-1
13	0.10376495	-1
14	0.083742705	-1
15	0.078976244	-1
16	0.078976244	-1
17	0.078976244	-1
18	0.078976244	-1
19	0.078976244	-1
20	0.078976244	-1
21	0.078976244	-1
22	0.078976244	-1
23	0.078976244	-1
24	0.083645509	-1
25	0.093398092	-1
26	0.085060674	-1
27	0.083732985	-1
28	0.082475277	-1
29	0.078976244	-1
30	0.078976244	-1
31	0.078976244	-1
32	0.071237797	-1
33	0.071237797	-1
34	0.071237797	-1
35	0.072886038	-1
36	0.071237797	-1
37	0.071237797	-1
38	0.071237797	-1
39	0.075064366	-1
40	0.083061233	-1
41	0.086684878	-1
42	0.078692152	-1
43	0.071237797	-1
44	0.071237797	-1
45	0.071237797	-1
46	0.071237797	-1
47	0.071237797	-1
48	0.071237797	-1
49	0.071237797	-1
50	0.071237797	-1
51	0.086146508	-1
52	0.078634174	-1
53	0.071237797	-1
54	0.071237797	-1
55	0.071237797	-1
56	0.071237797	-1
57	0.071237797	-1
58	0.071237797	-1
59	0.071237797	-1
60	0.069295715	-1
61	0.069295715	-1
62	0.069295715	-1
63	0.069295715	-1
64	0.069295715	-1
65	0.069295715	-1
66	0.069295715	-1
67	0.069295715	-1
68	0.069295715	-1
69	0.069295715	-1
70	0.069295715	-1
71	0.069295715	-1
72	0.069295715	-1
73	0.069295715	-1
74	0.069295715	-1
75	0.069295715	-1
76	0.069295715	-1
77	0.069295715	-1
78	0.069295715	-1
79	0.069295715	-1
80	0.069295715	-1
81	0.069295715	-1
82	0.069295715	-1
83	0.069295715	-1
84	0.069295715	-1
85	0.069295715	-1
86	0.069295715	-1
87	0.069295715	-1
88	0.069295715	-1
89	0.069295715	-1
90	0.069295715	-1
91	0.234684318	-1
92	0.499287739	-1
93	0.891019485	-1
94	0.904448316	-1
95	0.904455818	-1
96	0.904448316	-1
97	0.904455818	-1
98	0.771645432	-1
99	0.904500831	-1
100	0.84714697	-1
101	0.904448316	-1
102	0.904455818	-1
103	0.904448316	-1
104	0.906698958	-1
105	0.76939479	-1
106	0.904440814	-1
107	0.931133428	-1
108	0.904455818	-1
109	0.501523377	-1
110	0.229158181	-1
111	0.229158181	-1
112	0.229158181	-1
113	0.229158181	-1
114	0.229158181	-1
115	0.229158181	-1
116	0.229158181	-1
117	0.229158181	-1
118	0.229158181	-1
119	0.219785358	-1
120	0.229158181	-1
121	0.398112148	-1
122	0.398112148	-1
123	0.398112148	-1
124	0.398112148	-1
125	0.398112148	-1
126	0.398112148	-1
127	0.394282655	-1
128	0.398112148	-1
129	0.398112148	-1
130	0.398112148	-1
131	0.398112148	-1
132	0.398112148	-1
133	0.398112148	-1
134	0.398112148	-1
135	0.398112148	-1
136	0.398112148	-1
137	0.398112148	-1
138	0.398112148	-1
139	0.398112148	-1
140	0.398112148	-1
141	0.398112148	-1
142	0.398112148	-1
143	0.398112148	-1
144	0.678181505	-1
145	1.108837205	-1
146	1.193564535	-1
147	1.153823779	-1
148	1.140940126	-1
149	1.149409165	-1
150	1.113861368	-1
151	0.82551692	-1
152	0.469447105	-1
153	0.523990123	-1
154	0.534037521	-1
155	0.523990123	-1
156	0.534037521	-1
157	0.534037521	-1
158	0.701166044	-1
159	0.84794709	-1
160	0.877884019	-1
161	0.886211231	-1
162	0.697740603	-1
163	0.534037521	-1
164	0.534037521	-1
165	0.534037521	-1
166	0.534037521	-1
167	0.534037521	-1
168	0.534037521	-1
169	0.534037521	-1
170	0.534037521	-1
171	0.534037521	-1
172	0.691960171	-1
173	0.865729947	-1
174	0.894101342	-1
175	0.83858511	-1
176	0.916732447	-1
177	0.883566326	-1
178	0.672188061	-1
179	0.736125169	-1
180	0.879204241	-1
181	0.900064643	-1
182	1.032869939	-1
183	1.067287424	-1
184	0.984528617	-1
185	1.073009001	-1
186	1.065150835	-1
187	1.075561704	-1
188	1.055684226	-1
189	1.073393106	-1
190	1.075513691	-1
191	0.810760729	-1
192	0.398527123	-1
193	0.398527123	-1
194	0.686606514	-1
195	1.075513691	-1
196	1.075513691	-1
197	1.074113305	-1
198	1.010239702	-1
199	1.074593437	-1
200	1.086948842	-1
201	1.078794595	-1
202	1.079258723	-1
203	1.068599785	-1
204	1.086764791	-1
205	1.075513691	-1
206	1.084868269	-1
207	0.931473996	-1
208	0.657798574	-1
209	0.398527123	-1
210	0.398527123	-1
211	0.680076714	-1
212	0.989634024	-1
213	1.070738966	-1
214	1.055581992	-1
215	1.072647504	-1
216	1.07447652	-1
217	1.055152571	-1
218	1.07089801	-1
219	1.077021237	-1
220	1.076603744	-1
221	1.090683189	-1
222	1.108838159	-1
223	1.111772536	-1
224	1.111772536	-1
225	1.102058872	-1
226	0.900958592	-1
227	0.768235667	-1
228	0.768235667	-1
229	0.768235667	-1
230	0.768235667	-1
231	0.768235667	-1
232	0.768235667	-1
233	0.98294621	-1
234	1.111772536	-1
235	1.111772536	-1
236	0.92689483	-1
237	0.562852249	-1
238	0.398551341	-1
239	0.488204452	-1
240	0.256394199	-1
241	0.484067064	-1
242	0.691169538	-1
243	0.768235667	-1
244	0.554972569	-1
245	0.554972569	-1
246	0.554972569	-1
247	0.531565641	-1
248	0.406061012	-1
249	0.435305364	-1
250	0.554972569	-1
