dTime	dValue	-1
0	0.04	-1
1	0.08	-1
2	0.12	-1
3	0.04	-1
4	0	-1
5	0	-1
6	0.04	-1
7	0.04	-1
8	0.04	-1
9	0.04	-1
10	0.04	-1
11	0.04	-1
12	0.16	-1
13	0.16	-1
14	0.2	-1
15	0.16	-1
16	0.04	-1
17	0.16	-1
18	0.04	-1
19	0.04	-1
20	0.08	-1
21	0.16	-1
22	0.16	-1
23	0.12	-1
24	0.04	-1
25	0.08	-1
26	0.08	-1
27	0.16	-1
28	0.08	-1
29	0.12	-1
30	0.08	-1
31	0.186667	-1
32	0.093333	-1
33	0.186667	-1
34	0.186667	-1
35	0.093333	-1
36	0.093333	-1
37	0.093333	-1
38	0.373333	-1
39	0.186667	-1
40	0.093333	-1
41	0.186667	-1
42	0.373333	-1
43	0.653333	-1
44	0.28	-1
45	0.186667	-1
46	0.28	-1
47	0.28	-1
48	0.373333	-1
49	0.653333	-1
50	0.186667	-1
51	0.186667	-1
52	0.186667	-1
53	0.466667	-1
54	0.933333	-1
55	0.28	-1
56	0.933333	-1
57	0.933333	-1
58	0.28	-1
59	0.886667	-1
60	1.14	-1
61	1.013333	-1
62	1.013333	-1
63	1.013333	-1
64	1.266667	-1
65	1.646667	-1
66	0.38	-1
67	0.38	-1
68	0.38	-1
69	1.14	-1
70	1.52	-1
71	1.773333	-1
72	1.52	-1
73	1.646667	-1
74	0.38	-1
75	0.633333	-1
76	0.38	-1
77	0.506667	-1
78	1.646667	-1
79	1.646667	-1
80	2.026667	-1
81	2.406667	-1
82	1.773333	-1
83	0.886667	-1
84	1.646667	-1
85	1.266667	-1
86	2.026667	-1
87	0.76	-1
88	0.886667	-1
89	0.76	-1
90	1.69	-1
91	0.91	-1
92	1.56	-1
93	2.08	-1
94	2.47	-1
95	1.82	-1
96	2.47	-1
97	2.08	-1
98	2.73	-1
99	2.47	-1
100	1.82	-1
101	1.95	-1
102	1.69	-1
103	2.99	-1
104	2.6	-1
105	2.6	-1
106	2.86	-1
107	1.95	-1
108	2.34	-1
109	1.3	-1
110	1.95	-1
111	1.82	-1
112	1.43	-1
113	2.86	-1
114	3.77	-1
115	0.91	-1
116	4.03	-1
117	2.73	-1
118	2.6	-1
119	1.3	-1
120	2.73	-1
121	4.29	-1
122	4.94	-1
123	5.33	-1
124	5.46	-1
125	5.07	-1
126	4.94	-1
127	4.81	-1
128	5.07	-1
129	5.46	-1
130	5.33	-1
131	5.07	-1
132	3.77	-1
133	4.03	-1
134	3.12	-1
135	3.12	-1
136	3.77	-1
137	3.77	-1
138	1.56	-1
139	1.69	-1
140	2.34	-1
141	2.99	-1
142	1.82	-1
143	2.34	-1
144	1.95	-1
145	1.82	-1
146	2.21	-1
147	3.12	-1
148	2.47	-1
149	3.9	-1
150	2.34	-1
151	2.882	-1
152	5.24	-1
153	3.93	-1
154	4.323	-1
155	3.013	-1
