dTime	dValue	-1
0	0.983459	-1
1	0.933137	-1
2	0.882117	-1
3	0.954636	-1
4	0.98773	-1
5	0.980477	-1
6	0.931969	-1
7	0.924132	-1
8	0.916456	-1
9	0.908938	-1
10	3.669773	-1
11	0.915652	-1
12	0.783986	-1
13	0.774035	-1
14	0.722867	-1
15	0.753818	-1
16	6.523273	-1
17	1.957562	-1
18	5.966624	-1
19	6.43496	-1
20	5.177003	-1
21	0.831297	-1
22	0.82056	-1
23	0.851443	-1
24	2.294249	-1
25	0.887477	-1
26	0.879063	-1
27	0.787997	-1
28	0.860952	-1
29	0.811644	-1
30	0.844419	-1
31	0.726414	-1
32	0.815597	-1
33	0.712569	-1
34	0.808917	-1
35	0.899387	-1
36	1.618892	-1
37	4.148608	-1
38	9.201392	-1
39	4.962364	-1
40	1.238217	-1
41	0.778937	-1
42	0.577432	-1
43	0.45	-1
44	0.479508	-1
45	6.808374	-1
46	7.066281	-1
47	3.594498	-1
48	0.698125	-1
49	0.45	-1
50	0.611096	-1
51	0.757659	-1
52	0.749746	-1
53	0.452122	-1
54	0.45	-1
55	0.45	-1
56	0.45	-1
57	0.45	-1
58	3.159306	-1
59	0.45	-1
60	0.45	-1
61	0.45	-1
62	0.45	-1
63	0.45	-1
64	0.45	-1
65	0.45	-1
66	0.45	-1
67	0.45	-1
68	0.45	-1
69	0.45	-1
70	0.45	-1
71	0.45	-1
72	0.45	-1
73	0.45	-1
74	0.45	-1
75	0.45	-1
76	0.45	-1
77	0.45	-1
78	0.45	-1
79	0.45	-1
80	0.45	-1
81	0.45	-1
82	0.45	-1
83	0.45	-1
84	0.45	-1
85	0.45	-1
86	0.45	-1
87	0.45	-1
88	0.45	-1
89	0.45	-1
90	0.45	-1
91	0.45	-1
92	0.45	-1
93	0.45	-1
94	0.45	-1
95	0.45	-1
96	0.45	-1
97	0.45	-1
98	0.45	-1
99	0.45	-1
100	0.45	-1
101	0.45	-1
102	0.45	-1
103	0.45	-1
104	0.45	-1
105	0.45	-1
