lId	iReport	iSensitivity	iCalibration	iBifurcation	sName	sUnit	sMinValue	sMaxValue	sDefault0	sSet1	sSet2	sSet3	sSet1Changed	sSet2Changed	sSet3Changed	sDescription	sRemarks	-1		Open water	Sediment	Marsh	Marsh sediment	Total	Depth	NH4	N)3	PO4	Adsorbed P	SiO4	Oxygen	Detritus	Humus	Inorganic matter	Diatoms	Green algae	Blue greens	Vegetation	Phragmites	Zooplankton	Zoobethos	Zoop/benth fish	Predatory fish	Mass balance	Hydrology	Inorganic matter	Dry weight	Nitrogen	Phosphorus	Silica	Oxygen	Main module	Transport processes	Abiotic and microbial module	Algal module	Vegetation module	Food web module	Marsh water module	Marsh vegetation module	_InclTran_	_InclPrim_	_InclPhytS_	_InclBed_	_InclWeb_	_InclMarsh_	iSensitivity	shortName	Duflow
0	0	0	0	0	_BeginTime_	day	0	0	0	0	0	0	TRUE	TRUE	TRUE	begintime	-	-1	begintime																																																BegiTime	PARM
1	0	0	0	0	_ConstDepth_	-	0	0	1	1	1	1	TRUE	TRUE	TRUE	if_1_water_depth_kept_constant_by_daily_dredging	-	-1	if_1_water_depth_kept_constant_by_daily_dredging																																																Consepth	PARM
2	0	0	0	0	_ReadTemp_	-	0	0	0	0	0	0	TRUE	TRUE	TRUE	if_1_use_measured_time-series_of_temperature_otherwise_sinus	-	-1	if_1_use_measured_time-series_of_temperature_otherwise_sinus																																																ReadTemp	PARM
3	0	0	0	0	_ReadLOut_	-	0	0	0	0	0	0	TRUE	TRUE	TRUE	if_1_use_measured_time-series_of_light_otherwise_sinus	-	-1	if_1_use_measured_time-series_of_light_otherwise_sinus																																																ReadLOut	PARM
4	0	0	0	0	_ReadVWind_	-	0	0	0	0	0	0	TRUE	TRUE	TRUE	if_1_use_measured_time-series_of_wind_speed_otherwise_constant	-	-1	if_1_use_measured_time-series_of_wind_speed_otherwise_constant																																																ReadWind	PARM
5	0	0	0	0	_InitCalc_	-	0	0	0	0	0	0	TRUE	TRUE	TRUE	if_1_calculate_initial_values	-	-1	if_1_calculate_initial_values																																																InitCalc	PARM
6	0	0	0	0	_InclTran_	-	0	0	1	1	1	1	TRUE	TRUE	TRUE	if_1_use_transportmodule_(in_Duflow_transport_module_can_not_be_used	-	-1	if_1_use_transportmodule_(in_Duflow_transport_module_can_not_be_used																																																InclTran	PARM
7	0	0	0	0	_ReadQIn_	-	0	0	0	0	0	0	TRUE	TRUE	TRUE	if_1_use_measured_time-series_of_water_inflow_otherwise_constant	-	-1	if_1_use_measured_time-series_of_water_inflow_otherwise_constant																																																ReadQIn	dummy
8	0	0	0	0	_ReadQOut_	-	0	0	0	0	0	0	TRUE	TRUE	TRUE	if_1_use_measured_time-series_of_water_outflow_otherwise_constant	-	-1	if_1_use_measured_time-series_of_water_outflow_otherwise_constant																																																ReadQOut	dummy
9	0	0	0	0	_ReadQEv_	-	0	0	0	0	0	0	TRUE	TRUE	TRUE	if_1_use_measured_time-series_of_evaporation_otherwise_constant	-	-1	if_1_use_measured_time-series_of_evaporation_otherwise_constant																																																ReadQEv	dummy
10	0	0	0	0	_ReadPLoad_	-	0	0	1	1	1	1	TRUE	TRUE	TRUE	if_1_use_measured_time-series_of_P_loading_otherwise_constant	-	-1	if_1_use_measured_time-series_of_P_loading_otherwise_constant																																																RdPLoad	dummy
11	0	0	0	0	_ReadNLoad_	-	0	0	0	0	0	0	TRUE	TRUE	TRUE	if_1_use_measured_time-series_of_N_loading_otherwise_constant	-	-1	if_1_use_measured_time-series_of_N_loading_otherwise_constant																																																RdNLoad	dummy
12	0	0	0	0	_ReadNutFrac_	-	0	0	0	0	0	0	TRUE	TRUE	TRUE	if_1_use_measured_time-series_of_loading_with_diff_nutrient_fractions	-	-1	if_1_use_measured_time-series_of_loading_with_diff_nutrient_fractions																																																ReadFrac	dummy
13	0	0	0	0	_ReadPLoadPhyt_	-	0	0	0	0	0	0	TRUE	TRUE	TRUE	if_1_use_measured_time-series_of_P_phytoplankton_loading_otherwise_constant	-	-1	if_1_use_measured_time-series_of_P_phytoplankton_loading_otherwise_constant																																																ReadPhyt	dummy
14	0	0	0	0	_ReadDLoadDet_	-	0	0	0	0	0	0	TRUE	TRUE	TRUE	if_1_use_measured_time-series_of_DDet_loading_otherwise_constant	-	-1	if_1_use_measured_time-series_of_DDet_loading_otherwise_constant																																																ReaddDet	dummy
15	0	0	0	0	_ReadDLoadIM_	-	0	0	0	0	0	0	TRUE	TRUE	TRUE	if_1_use_measured_time-series_of_DIM_loading_otherwise_constant	-	-1	if_1_use_measured_time-series_of_DIM_loading_otherwise_constant																																																ReadadIM	dummy
16	0	0	0	0	_UseSeasonLoad_	-	0	0	0	0	0	0	TRUE	TRUE	TRUE	if_1_use_different_inflow_and_loading_for_summer_and_winter_periods	-	-1	if_1_use_different_inflow_and_loading_for_summer_and_winter_periods																																																UseSLoad	dummy
17	0	0	0	0	_UsePulseLoad_	-	0	0	0	0	0	0	TRUE	TRUE	TRUE	if_1_use_a_pulse-wise_nutrient_loading	-	-1	if_1_use_a_pulse-wise_nutrient_loading																																																UsePLoad	dummy
18	0	0	0	0	_mTemp_	oC	0	0	0	0	0	0	TRUE	TRUE	TRUE	measured_time-series_of_temperature	-	-1	measured_time-series_of_temperature																																																mTemp	XT
19	0	0	0	0	_mLOut_	W/m2	0	0	0	0	0	0	TRUE	TRUE	TRUE	measured_time-series_of_light	-	-1	measured_time-series_of_light																																																mLOut	XT
20	0	0	0	0	_mVWind_	m/s	0	0	0	0	0	0	TRUE	TRUE	TRUE	measured_time-series_of_wind_speed	-	-1	measured_time-series_of_wind_speed																																																mVWind	XT
21	0	0	0	0	_mQIn_	mm/day	0	0	0	0	0	0	TRUE	TRUE	TRUE	use_measured_time-series_of_inflow	-	-1	use_measured_time-series_of_inflow																																																mQIn	dummy
22	0	0	0	0	_mQOut_	mm/day	0	0	0	0	0	0	TRUE	TRUE	TRUE	use_measured_time-series_of_outflow	-	-1	use_measured_time-series_of_outflow																																																mQOut	dummy
23	0	0	0	0	_mQEv_	mm/day	0	0	0	0	0	0	TRUE	TRUE	TRUE	use_measured_time-series_of_evaporation	-	-1	use_measured_time-series_of_evaporation																																																mQEv	dummy
24	0	0	0	1	_mPLoad_	gP/m2/day	0.018	0.025	0.018	0.018	0.018	0.018	TRUE	TRUE	TRUE	use_measured_time-series_of_P_loading	-	-1	use_measured_time-series_of_P_loading																																																mPLoad	dummy
