lId	iReportInitialState	iReportState	iReportDerivative	sInitialStateName	sStateName	sDerivativeName	sStateUnit	sDefault0	sSet1	sSet2	sSet3	sSet1Changed	sSet2Changed	sSet3Changed	sDescription	sRemarks	-1	Duflow	Per unit of length	Conc per volume	Conc per area	Open water	Sediment	Depth	NH4	N03	PO4	Adsorbed P	Oxygen	Detritus	Humus	Inorganic matter	Benthic algae	Phytoplankton	Rooted submerged macrophytes	Non-rooted submerged macrophytes	Characeans	floating plants	Nymphaeids	Helophytes	Mass balance	Water	Inorganic matter1	Dry weight	Nitrogen	Phosphorus	Oxygen	Main module	Transport processes	Abiotic and microbial module	Algal module	Vegetation module	_InclTran_	_InclPrim_	_InclPhytS_	_InclBed_	_stateShortNames_
0	0	1	0	_cDDetS0_	_sDDetS_	_dDDetS_	gDW/m2	363.4059807	363.4059807	363.4059807	363.4059807	TRUE	TRUE	TRUE	Detritus_DW_in_ditch_sediment	-	-1	BOTTOM	-	-	1	-	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	1	-	-	-	-	-	-	-	-	sDDetS
1	0	1	0	_cDDetW0_	_sDDetW_	_dDDetW_	gDW/m3	2	2	2	2	TRUE	TRUE	TRUE	Detritus_DW_in_ditch_water	InitCalc	-1	WATER	-	1	-	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	1	1	-	-	-	-	-	-	-	sDDetW
2	0	0	0	_cDepthW0_	_sDepthW_	_dDepthW_	m	0.5	0.5	0.5	0.5	TRUE	TRUE	TRUE	Ditch_water_depth	InitCalc	-1	FLOW	1	-	-	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	1	-	-	-	-	-	-	-	-	sDepthW
3	0	1	0	_cDHumS0_	_sDHumS_	_dDHumS_	gDW/m2	3270.653827	3270.653827	3270.653827	3270.653827	TRUE	TRUE	TRUE	Humus_DW_in_ditch_sediment	-	-1	BOTTOM	-	-	1	-	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	1	-	-	-	-	-	-	-	-	sDHumS
4	0	1	0	_cDIMS0_	_sDIMS_	_dDIMS_	gDW/m2	32706.53827	32706.53827	32706.53827	32706.53827	TRUE	TRUE	TRUE	Inorganic_matter_in_ditch_sediment	-	-1	BOTTOM	-	-	1	-	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	1	-	-	-	-	-	-	-	-	sDIMS
5	0	1	0	_cDIMW0_	_sDIMW_	_dDIMW_	gDW/m3	5	5	5	5	TRUE	TRUE	TRUE	Inorganic_matter_in_ditch_water	InitCalc	-1	WATER	-	1	-	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	1	1	-	-	-	-	-	-	-	sDIMW
6	0	0	0	_cNDetS0_	_sNDetS_	_dNDetS_	gN/m2	9.085149518	9.085149518	9.085149518	9.085149518	TRUE	TRUE	TRUE	Detritus_N_in_ditch_sediment	-	-1	BOTTOM	-	-	1	-	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-	-	-	-	-	-	sNDetS
7	0	0	0	_cNDetW0_	_sNDetW_	_dNDetW_	gN/m3	0.05	0.05	0.05	0.05	TRUE	TRUE	TRUE	Detritus_N_in_ditch_water	-	-1	WATER	-	1	-	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	1	-	-	-	-	-	-	-	sNDetW
8	0	1	0	_cNH4S0_	_sNH4S_	_dNH4S_	gN/m2	0.02	0.02	0.02	0.02	TRUE	TRUE	TRUE	N_in_NH4_in_ditch_sediment_interstitial_water	InitCalc	-1	BOTTOM	-	-	1	-	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-	-	-	-	-	-	sNH4S
9	0	1	0	_cNH4W0_	_sNH4W_	_dNH4W_	gN/m3	0.1	0.1	0.1	0.1	TRUE	TRUE	TRUE	N_in_NH4_in_ditch_water	InitCalc	-1	WATER	-	1	-	1	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	1	-	-	-	-	-	-	-	sNH4W
10	0	0	0	_cNHumS0_	_sNHumS_	_dNHumS_	gN/m2	163.5326913	163.5326913	163.5326913	163.5326913	TRUE	TRUE	TRUE	Humus_N_in_ditch_sediment	-	-1	BOTTOM	-	-	1	-	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-	-	-	-	-	-	sNHumS
11	0	1	0	_cNO3S0_	_sNO3S_	_dNO3S_	gN/m2	0.002	0.002	0.002	0.002	TRUE	TRUE	TRUE	N_in_NO3_in_ditch_sediment_interstitial_water	InitCalc	-1	BOTTOM	-	-	1	-	1	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-	-	-	-	-	-	sNO3S
12	0	1	0	_cNO3W0_	_sNO3W_	_dNO3W_	gN/m3	0.1	0.1	0.1	0.1	TRUE	TRUE	TRUE	N_in_NO3_in_ditch_water	InitCalc	-1	WATER	-	1	-	1	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	1	-	-	-	-	-	-	-	sNO3W
13	0	1	0	_cO2W0_	_sO2W_	_dO2W_	gO2/m3	10	10	10	10	TRUE	TRUE	TRUE	Oxygen_in_ditch_water	InitCalc	-1	WATER	-	1	-	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	-	-	-	-	-	-	-	sO2W
