dTime	dValue	-1
0	1.023459	-1
1	1.013137	-1
2	1.002117	-1
3	0.994636	-1
4	0.98773	-1
5	0.980477	-1
6	0.971969	-1
7	0.964132	-1
8	0.956456	-1
9	0.948938	-1
10	3.709773	-1
11	0.955652	-1
12	0.943986	-1
13	0.934035	-1
14	0.922867	-1
15	0.913818	-1
16	6.563273	-1
17	2.117562	-1
18	6.006624	-1
19	6.47496	-1
20	5.257003	-1
21	0.991297	-1
22	0.98056	-1
23	0.971443	-1
24	2.334249	-1
25	0.967477	-1
26	0.959063	-1
27	0.947997	-1
28	0.940952	-1
29	0.931644	-1
30	0.924419	-1
31	0.913081	-1
32	0.908931	-1
33	0.899235	-1
34	0.995584	-1
35	0.99272	-1
36	1.712225	-1
37	4.241942	-1
38	9.574725	-1
39	5.14903	-1
40	1.331551	-1
41	0.965604	-1
42	0.950766	-1
43	0.931025	-1
44	0.931817	-1
45	6.99504	-1
46	7.346281	-1
47	3.874498	-1
48	1.071459	-1
49	0.948702	-1
50	0.952394	-1
51	0.944326	-1
52	0.936412	-1
53	0.918789	-1
54	0.892077	-1
55	0.900563	-1
56	1.283592	-1
57	1.480073	-1
58	3.763001	-1
59	1.282479	-1
60	2.602545	-1
61	1.478413	-1
62	2.648653	-1
63	2.062305	-1
64	3.784078	-1
65	0.836459	-1
66	5.191229	-1
67	2.980731	-1
68	6.929973	-1
69	1.319078	-1
70	0.881269	-1
71	0.855986	-1
72	0.847065	-1
73	0.826854	-1
74	0.855104	-1
75	0.838985	-1
76	0.839061	-1
77	0.827684	-1
78	0.779854	-1
79	0.764319	-1
80	0.735671	-1
81	0.704623	-1
82	2.052688	-1
83	4.165318	-1
84	13.898881	-1
85	15.588533	-1
86	1.091476	-1
87	3.871109	-1
88	11.058433	-1
89	9.659361	-1
90	1.863256	-1
91	12.871465	-1
92	4.100224	-1
93	3.635538	-1
94	1.947975	-1
95	1.331035	-1
96	1.910034	-1
97	3.355077	-1
98	1.259169	-1
99	1.243624	-1
100	2.79686	-1
101	3.098515	-1
102	2.691113	-1
103	1.191832	-1
104	1.180163	-1
105	4.470567	-1
106	2.708036	-1
107	1.383829	-1
108	2.18266	-1
109	1.173172	-1
110	2.173018	-1
111	2.06625	-1
112	1.1406	-1
113	1.077359	-1
114	1.022893	-1
115	2.958767	-1
116	0.993232	-1
117	3.183301	-1
118	3.393267	-1
119	1.162597	-1
120	3.069501	-1
121	0.941735	-1
122	0.896176	-1
123	0.85997	-1
124	0.831465	-1
125	0.820953	-1
126	0.803207	-1
127	0.786244	-1
128	0.772766	-1
129	0.759031	-1
130	0.763609	-1
131	0.772766	-1
132	0.818549	-1
133	0.809392	-1
134	0.84144	-1
135	0.84144	-1
136	0.818549	-1
137	10.087446	-1
138	16.682083	-1
139	8.361536	-1
140	2.608242	-1
141	13.509644	-1
142	2.712189	-1
143	18.872614	-1
144	5.203385	-1
145	8.294319	-1
146	1.890165	-1
147	1.324031	-1
148	7.161368	-1
149	2.019563	-1
150	1.220498	-1
151	1.90426	-1
152	1.077828	-1
153	1.083395	-1
154	1.038586	-1
155	1.051645	-1
156	0.931147	-1
157	0.917003	-1
158	0.839714	-1
159	0.791973	-1
160	0.757184	-1
161	0.726975	-1
162	0.72473	-1
163	0.729141	-1
164	1.063383	-1
165	0.862873	-1
166	0.87289	-1
167	0.766779	-1
168	0.752938	-1
169	0.861073	-1
170	0.780619	-1
171	1.300817	-1
172	0.944117	-1
173	0.831368	-1
174	0.752938	-1
175	9.436469	-1
176	0.955049	-1
177	2.232085	-1
178	0.868459	-1
179	0.759031	-1
180	0.733552	-1
181	0.73314	-1
182	0.731718	-1
183	0.728875	-1
184	0.73314	-1
185	16.186764	-1
186	18.713542	-1
187	0.976509	-1
188	0.963651	-1
189	1.145058	-1
190	0.88881	-1
191	5.84169	-1
192	0.826511	-1
193	0.775438	-1
194	0.75982	-1
195	0.737405	-1
196	0.735983	-1
197	0.73314	-1
198	0.734562	-1
199	0.734562	-1
200	0.751621	-1
201	0.740248	-1
202	7.612805	-1
203	4.426337	-1
204	0.767852	-1
205	0.738826	-1
206	0.740248	-1
207	0.763739	-1
208	0.853179	-1
209	0.804109	-1
210	19.188863	-1
211	0.919456	-1
212	2.292909	-1
213	28.779332	-1
214	5.21172	-1
215	22.136654	-1
216	1.176949	-1
217	1.12112	-1
218	1.346107	-1
219	2.299036	-1
220	4.98057	-1
221	2.923368	-1
222	3.406837	-1
223	1.122966	-1
224	1.059362	-1
225	24.558433	-1
226	3.107243	-1
227	3.27781	-1
228	1.170815	-1
229	13.434683	-1
230	1.207101	-1
231	19.763968	-1
