t	tintnext	sstore	sstored	stry	sdid	snext
0.0000002	0.001	0.001	0.005			
0.0010002	0.005	0.005	0.025			
0.0060002	0.025	0.025	0.125			
0.0310002	0.125	0.125	0.461223			
0.156	0.461223	0.461223	0.454829			
0.617223	0.454829	0.343457	0.370536			
0.960679	0.370536	0.370536	0.570633			
1.33122	0.570633	0.570633	0.64402			
1.90185	0.64402	0.64402	0.812673			
2.54587	0.812673	0.812673	1.05824			
3.35854	1.05824	1.05824	1.47279			
4.41678	1.47279	1.47279	1.74756			
5.88957	1.74756	1.30188	1.41931			
7.19145	1.41931	1.41931	1.32799			
8.61076	1.32799	1.13043	1.17097			
9.7412	1.17097	1.17097	1.32299			
10.9122	1.32299	1.32299	1.39202			
12.2352	1.39202	1.39202	1.26575			
13.6272	1.26575	1.09576	1.12804			
14.7229	1.12804	1.12804	1.30668			
15.851	1.30668	1.30668	1.4112			
17.1577	1.4112	1.4112	1.27741			
18.5689	1.27741	1.06291	1.10929			
19.6318	1.10929	1.10929	1.31323			
20.7411	1.31323	1.31323	1.42239			
22.0543	1.42239	1.25915	1.28746			
23.3135	1.28746	1.28746	1.22368			
24.6009	1.22368	1.22368	1.14424			
25.8246	1.14424	1.14424	1.14619			
26.9688	1.14619	1.14619	1.23308			
28.115	1.23308	1.23308	1.29884			
29.3481	1.29884	1.29884	1.2472			
30.6469	1.2472	1.2472	1.13861			
31.8941	1.13861	1.13861	1.10649			
33.0328	1.10649	1.10649	1.1944			
34.1392	1.1944	1.1944	1.30186			
35.3336	1.30186	1.30186	1.27889			
36.6355	1.27889	1.14454	1.16512			
37.78	1.16512	1.16512	1.22479			
38.9452	1.22479	1.22479	1.24412			
40.1699	1.24412	1.24412	1.18903			
41.4141	1.18903	1.18903	1.12426			
42.6031	1.12426	1.12426	1.12691			
43.7274	1.12691	1.12691	1.19356			
44.8543	1.19356	1.19356	1.2357			
46.0478	1.2357	1.2357	1.18756			
47.2835	1.18756	1.18756	1.1048			
48.4711	1.1048	1.1048	1.08625			
49.5759	1.08625	1.08625	1.15268			
50.6621	1.15268	1.15268	1.21796			
51.8148	1.21796	1.21796	1.1886			
53.0328	1.1886	1.1886	1.09903			
54.2214	1.09903	1.09903	1.06093			
55.3204	1.06093	1.06093	1.1222			
56.3813	1.1222	1.1222	1.21193			
57.5035	1.21193	1.21193	1.21139			
58.7155	1.21139	1.21139	1.1188			
59.9269	1.1188	1.1188	1.05444			
61.0457	1.05444	1.05444	1.1024			
62.1001	1.1024	1.1024	1.21997			
63.2025	1.21997	1.21997	1.26332			
64.4225	1.26332	1.26332	1.16933			
65.6858	1.16933	1.16933	1.06271			
66.8551	1.06271	1.06271	1.08049			
67.9178	1.08049	1.08049	1.22357			
68.9983	1.22357	1.22357	1.33102			
70.2219	1.33102	1.33102	1.25098			
71.5529	1.25098	1.08465	1.11547			
72.6376	1.11547	1.11547	1.25712			
73.753	1.25712	1.25712	1.34			
75.0101	1.34	1.34	1.25045			
