RunId	Time	_sNH4S_	_sNO3S_	_sPO4S_	_sDBlueS_	_sDVeg_	_sNH4WEpi_	_sNO3WEpi_	_sPO4WEpi_	_sO2WEpi_	_sDDetWEpi_	_sDDiatWEpi_	_sDGrenWEpi_	_sDBlueWEpi_	_sDZooEpi_	_sDBlueSurf_	_aLPARBotSurf_	_aLPARBotEpiOpen_	_aLPARBotEpi_	_aLLimShootVegEpi_	_aPLimVeg_	_aNLimVeg_	_aNutLimVeg_	_aLPARAveSurf_	_aLPARAveEpi_	_aLLimBlueEpi_	_aChlaBlueEpi_	_aLLimBlueSurf_	_aRepLLimBlue_	_aChlaBlueSurf_	_oChlaBlueW_	_oChlaBlue_	_rNDBlueSurf_	_rPDBlueSurf_	_tNUptBlueEpi_	_aPLimBlueEpi_	_aNLimBlueEpi_	_aNutLimBlueEpi_	_aPLimBlueSurf_	_aNLimBlueSurf_	_aNutLimBlueSurf_	_aRepPLimBlue_	_aRepNLimBlue_	_aRepNutLimBlue_	_tDAssBlueSurf_	_tNUptBlueSurf_	_tPUptBlueSurf_	_oChla_	_aChlaH_	_aDepthEuphW_	_oChlaMeasW_	_aDepthEuphEpi_	_aDError_	_aNError_	_aPError_	_aSiError_	_aO2Error_	-1
0	17885	0.0820823	0.0884619	0.0200387	0.206717	0.0766018	0.398177	1.59619	0.00122278	23.6922	7.04323	0.024912	0.0251557	8.05915	0.334289	0	36.2518	0.168339	0.168287	0.278011	0.998765	0.99861	0.99861	0	6.71662	0.486851	81.6606	-9999	0.486851	0	40.8303	40.8303	0	0	0.0274622	0.917147	0.96515	0.917147	0	0	-9999	0.917147	0.96515	0.917147	0	0	0	41.1649	82.3299	1.71433	99.2565	1.12883	0.000000000531145	0.00000000000898126	0.000000000000198952	0.000000000000261124	0	-1
0	17886	0.0816525	0.088862	0.0199373	0.202849	0.076604	0.400814	1.62307	0.00123496	23.7617	6.99876	0.0251763	0.0252373	7.92301	0.329671	0	36.4834	0.177896	0.177842	0.281895	0.998739	0.998584	0.998584	0	6.81998	0.489974	80.1451	-9999	0.489974	0	40.0725	40.0725	0	0	0.0268893	0.918964	0.964777	0.918964	0	0	-9999	0.918964	0.964777	0.918964	0	0	0	40.4079	80.8159	1.73006	97.278	1.14062	0.000000000516593	0.0000000000090381	0.000000000000198952	0.000000000000259348	0	-1
0	17887	0.0813983	0.089103	0.0198785	0.200619	0.076613	0.402387	1.63915	0.00124297	23.8029	6.97217	0.0253646	0.025296	7.84234	0.326851	0	36.657	0.184649	0.184592	0.284583	0.998729	0.998574	0.998574	0	6.89342	0.492023	79.1499	-9999	0.492023	0	39.5749	39.5749	0	0	0.0265206	0.920169	0.964522	0.920169	0	0	-9999	0.920169	0.964522	0.920169	0	0	0	39.911	79.822	1.74069	95.9774	1.14859	0.000000000516593	0.00000000000898126	0.000000000000198952	0.000000000000261124	0	-1
0	17888	0.0811787	0.0893143	0.0198272	0.198711	0.0766257	0.403755	1.6532	0.00125022	23.8386	6.94897	0.0255495	0.0253541	7.77242	0.324357	0	36.8208	0.190774	0.190715	0.286981	0.998721	0.998564	0.998564	0	6.96029	0.493778	78.2952	-9999	0.493778	0	39.1476	39.1476	0	0	0.026209	0.921212	0.964297	0.921212	0	0	-9999	0.921212	0.964297	0.921212	0	0	0	39.4844	78.9688	1.75	94.8596	1.15558	0.000000000516593	0.00000000000898126	0.000000000000198952	0.000000000000261124	0	-1
0	17889	0.0809533	0.0895345	0.0197753	0.196764	0.0766438	0.405168	1.66777	0.00125794	23.8753	6.92492	0.0257631	0.0254214	7.70037	0.321739	0	36.9996	0.197241	0.197181	0.289476	0.998713	0.998555	0.998555	0	7.0311	0.495529	77.4379	-9999	0.495529	0	38.7189	38.7189	0	0	0.0259013	0.922266	0.964063	0.922266	0	0	-9999	0.922266	0.964063	0.922266	0	0	0	39.0566	78.1133	1.75953	93.7377	1.16274	0.000000000523869	0.00000000000892442	0.000000000000198952	0.000000000000261124	0	-1
0	17890	0.080733	0.0897533	0.0197251	0.194866	0.0766669	0.406558	1.6822	0.00126579	23.9114	6.90114	0.0259979	0.0254957	7.62963	0.319121	0	37.1903	0.203937	0.203874	0.292018	0.998705	0.998545	0.998545	0	7.10459	0.497239	76.595	-9999	0.497239	0	38.2975	38.2975	0	0	0.0256037	0.923311	0.963827	0.923311	0	0	-9999	0.923311	0.963827	0.923311	0	0	0	38.6363	77.2725	1.76908	92.6342	1.16992	0.000000000531145	0.00000000000898126	0.000000000000191847	0.000000000000261124	0	-1
0	17891	0.0803394	0.0901541	0.0196338	0.191467	0.0767225	0.409063	1.70849	0.00128066	23.9762	6.85789	0.0264912	0.0256521	7.50216	0.314283	0	37.5742	0.216914	0.216847	0.296834	0.998689	0.998527	0.998527	0	7.24742	0.500278	75.0774	-9999	0.500278	0	37.5387	37.5387	0	0	0.0250807	0.925215	0.963381	0.925215	0	0	-9999	0.925215	0.963381	0.925215	0	0	0	37.8798	75.7595	1.78672	90.6461	1.1832	0.000000000531145	0.00000000000892442	0.000000000000206057	0.000000000000259348	0	-1
0	17892	0.0801491	0.0903529	0.0195902	0.189815	0.0767567	0.410283	1.72147	0.00128826	24.0077	6.83659	0.0267687	0.0257401	7.43998	0.311867	0	37.7783	0.223595	0.223527	0.299259	0.998681	0.998518	0.998518	0	7.32112	0.501712	74.3495	-9999	0.501712	0	37.1747	37.1747	0	0	0.0248359	0.926139	0.963157	0.926139	0	0	-9999	0.926139	0.963157	0.926139	0	0	0	37.5172	75.0344	1.7954	89.6922	1.18974	0.000000000531145	0.00000000000898126	0.000000000000206057	0.000000000000259348	0	-1
0	17893	0.0799498	0.090565	0.0195455	0.188076	0.0767981	0.411566	1.73526	0.00129652	24.0408	6.81398	0.0270905	0.0258421	7.37442	0.30928	0	38.0063	0.230911	0.23084	0.301874	0.998672	0.998508	0.998508	0	7.4019	0.503189	73.5901	-9999	0.503189	0	36.795	36.795	0	0	0.0245849	0.92711	0.962916	0.92711	0	0	-9999	0.92711	0.962916	0.92711	0	0	0	37.1391	74.2782	1.80461	88.6968	1.19669	0.000000000531145	0.00000000000898126	0.000000000000198952	0.000000000000261124	0	-1
0	17894	0.07975	0.0907817	0.0195016	0.186322	0.0768458	0.412855	1.74932	0.00130514	24.0741	6.79101	0.0274487	0.0259554	7.30823	0.306627	0	38.2527	0.238676	0.238602	0.304605	0.998663	0.998497	0.998497	0	7.48772	0.504655	72.8238	-9999	0.504655	0	36.4119	36.4119	0	0	0.0243363	0.928098	0.962665	0.928098	0	0	-9999	0.928098	0.962665	0.928098	0	0	0	36.7578	73.5156	1.81407	87.6921	1.20384	0.000000000523869	0.0000000000090381	0.000000000000191847	0.000000000000261124	0	-1
