lId	iReport	iSensitivity	iCalibration	iBifurcation	sName	sUnit	sTargetValue	sEquation	sDescription	sRemark	-1	code versie 5.09.00.00	code versie 5.09.00.01	code versie 5.09.00.02	code versie 5.09.00.03	v00-v01	v00-v02	v00-v03	derivNames	short_derivName	Duflow																																																		
"=IF(COUNTBLANK(A3)<1,ROW()-2,-1)"	0	0	0	0	_sTime_	_d_	0	Time	Time	-	-1	_sTime_ = _time_ + _DayStart_	_sTime_ = _time_ + _DayStart_	_sTime_ = _time_ + _DayStart_	_sTime_ = _time_ + _DayStart_	=$M2=N2	=$M2=O2	=$M2=P2	_sTime_	sTime	sTime																																																		
"=IF(COUNTBLANK(A4)<1,ROW()-2,-1)"	0	0	0	0	_DaysInYear_	_d_	0	Days	Days_In_A_Year	-	-1	_DaysInYear_ = _DaysPerYear_* 1	_DaysInYear_ = _DaysPerYear_* 1	_DaysInYear_ = _DaysPerYear_* 1	_DaysInYear_ = _DaysPerYear_* 1	=$M3=N3	=$M3=O3	=$M3=P3	_DaysInY_	DaysInY	DaysInY																																																		
"=IF(COUNTBLANK(A5)<1,ROW()-2,-1)"	0	0	0	0	_aInclStrat_	0	0	Stratification	If_T_Include_stratification	-	-1	_aInclStrat_ =_IF_ ( _InclStrat_ _EQ_ _FALSE_ ) _THEN_ 0.0 _ELSE_ 1.0 _ENDIF_	_aInclStrat_ =_IF_ ( _InclStrat_ _EQ_ _FALSE_ ) _THEN_ 0.0 _ELSE_ 1.0 _ENDIF_	_aInclStrat_ =_IF_ ( _InclStrat_ _EQ_ _FALSE_ ) _THEN_ 0.0 _ELSE_ 1.0 _ENDIF_	_aInclStrat_ =_IF_ ( _InclStrat_ _EQ_ _FALSE_ ) _THEN_ 0.0 _ELSE_ 1.0 _ENDIF_	=$M4=N4	=$M4=O4	=$M4=P4	_aInlSrat_	aInlSrat	aInlSrat																																																		
"=IF(COUNTBLANK(A6)<1,ROW()-2,-1)"	0	0	0	0	_uDepthMixMeas_	_m_	0	Depth	Mixing_depth	-	-1	_uDepthMixMeas_ =_IF_ ( _calcMixDepth_ _EQ_ _TRUE_ ) _THEN_ _cAMix_ * _POW_ ( _cFetch_ _POWOPERATOR_ (_cBMix_) ) _ELSE_ _mMixDepth_ _ENDIF_	_uDepthMixMeas_ =_IF_ ( _calcMixDepth_ _EQ_ _TRUE_ ) _THEN_ _cAMix_ * _POW_ ( _cFetch_ _POWOPERATOR_ (_cBMix_) ) _ELSE_ _mMixDepth_ _ENDIF_	_uDepthMixMeas_ =_IF_ ( _calcMixDepth_ _EQ_ _TRUE_ ) _THEN_ _cAMix_ * _POW_ ( _cFetch_ _POWOPERATOR_ (_cBMix_) ) _ELSE_ _mMixDepth_ _ENDIF_	_uDepthMixMeas_ =_IF_ ( _calcMixDepth_ _EQ_ _TRUE_ ) _THEN_ _cAMix_ * _POW_ ( _cFetch_ _POWOPERATOR_ (_cBMix_) ) _ELSE_ _mMixDepth_ _ENDIF_	=$M5=N5	=$M5=O5	=$M5=P5	_uDptMix_	uDptMix	uDptMix																																																		
"=IF(COUNTBLANK(A8)<1,ROW()-2,-1)"	0	0	0	0	_uDepthW_	_m_	0	state_auxiliary	state_auxiliary_with_error_catching	-	-1	_uDepthW_= _IF_ _sDepthW_ _GT_ _cDepthWMin_ _THEN_ _sDepthW_ _ELSE_ _cDepthWMin_ _ENDIF_	_uDepthW_= _IF_ _sDepthW_ _GT_ _cDepthWMin_ _THEN_ _sDepthW_ _ELSE_ _cDepthWMin_ _ENDIF_	_uDepthW_= _IF_ _sDepthW_ _GT_ _cDepthWMin_ _THEN_ _sDepthW_ _ELSE_ _cDepthWMin_ _ENDIF_	_uDepthW_= _IF_ _sDepthW_ _GT_ _cDepthWMin_ _THEN_ _sDepthW_ _ELSE_ _cDepthWMin_ _ENDIF_	=$M6=N6	=$M6=O6	=$M6=P6	_uDptW_	uDptW	uDptW																																																		
"=IF(COUNTBLANK(A9)<1,ROW()-2,-1)"	0	0	0	0	_uDepthWHyp_	_m_	0	Depth	Total_Depth	-	-1	_uDepthWHyp_ =_IF_ ( ( _aInclStrat_ _EQ_ _TRUE_ ) _AND_ ((_uDepthW_ - _sMixDepthW_ ) _GE_ _cMinDepthHypEpi_ ) ) _THEN_ _uDepthW_ - _sMixDepthW_  _ELSE_ _cMinDepthHypEpi_ _ENDIF_	_uDepthWHyp_ =_IF_ ( ( _aInclStrat_ _EQ_ _TRUE_ ) _AND_ ((_uDepthW_ - _sMixDepthW_ ) _GE_ _cMinDepthHypEpi_ ) ) _THEN_ _uDepthW_ - _sMixDepthW_  _ELSE_ _cMinDepthHypEpi_ _ENDIF_	_uDepthWHyp_ =_IF_ ( ( _aInclStrat_ _EQ_ _TRUE_ ) _AND_ ((_uDepthW_ - _sMixDepthW_ ) _GE_ _cMinDepthHypEpi_ ) ) _THEN_ _uDepthW_ - _sMixDepthW_  _ELSE_ _cMinDepthHypEpi_ _ENDIF_	_uDepthWHyp_ =_IF_ ( ( _aInclStrat_ _EQ_ _TRUE_ ) _AND_ ((_uDepthW_ - _sMixDepthW_ ) _GE_ _cMinDepthHypEpi_ ) ) _THEN_ _uDepthW_ - _sMixDepthW_  _ELSE_ _cMinDepthHypEpi_ _ENDIF_	=$M7=N7	=$M7=O7	=$M7=P7	_uDptWH_	uDptWH	uDptWH																																																		
"=IF(COUNTBLANK(A7)<1,ROW()-2,-1)"	0	0	0	0	_uDepthWEpi_	_m_	0	Depth	Total_Depth	-	-1	_uDepthWEpi_ =_IF_( ( _aInclStrat_ _EQ_ _TRUE_ ) _AND_ ( _sMixDepthW_ _GE_ _cMinDepthHypEpi_ ) _AND_ ( _uDepthW_ _GE_ _sMixDepthW_ ) ) _THEN_ _sMixDepthW_ _ELSEIF_ ( ( _aInclStrat_ _EQ_ _TRUE_ ) _AND_ ( (_sMixDepthW_ _LE_ _cMinDepthHypEpi_ )   _OR_ (_uDepthW_ _LE_ _cMinDepthHypEpi_ ) ) ) _THEN_ _cMinDepthHypEpi_ _ELSEIF_ ( _aInclStrat_ _EQ_ _FALSE_) _THEN_ _uDepthW_ _ELSE_ _uDepthW_ - _uDepthWHyp_ _ENDIF_	_uDepthWEpi_ =_IF_( ( _aInclStrat_ _EQ_ _TRUE_ ) _AND_ ( _sMixDepthW_ _GE_ _cMinDepthHypEpi_ ) _AND_ ( _uDepthW_ _GE_ _sMixDepthW_ ) ) _THEN_ _sMixDepthW_ _ELSEIF_ ( ( _aInclStrat_ _EQ_ _TRUE_ ) _AND_ ( (_sMixDepthW_ _LE_ _cMinDepthHypEpi_ )   _OR_ (_uDepthW_ _LE_ _cMinDepthHypEpi_ ) ) ) _THEN_ _cMinDepthHypEpi_ _ELSEIF_ ( _aInclStrat_ _EQ_ _FALSE_) _THEN_ _uDepthW_ _ELSE_ _uDepthW_ - _uDepthWHyp_ _ENDIF_	_uDepthWEpi_ =_IF_( ( _aInclStrat_ _EQ_ _TRUE_ ) _AND_ ( _sMixDepthW_ _GE_ _cMinDepthHypEpi_ ) _AND_ ( _uDepthW_ _GE_ _sMixDepthW_ ) ) _THEN_ _sMixDepthW_ _ELSEIF_ ( ( _aInclStrat_ _EQ_ _TRUE_ ) _AND_ ( (_sMixDepthW_ _LE_ _cMinDepthHypEpi_ )   _OR_ (_uDepthW_ _LE_ _cMinDepthHypEpi_ ) ) ) _THEN_ _cMinDepthHypEpi_ _ELSEIF_ ( _aInclStrat_ _EQ_ _FALSE_) _THEN_ _uDepthW_ _ELSE_ _uDepthW_ - _uDepthWHyp_ _ENDIF_	_uDepthWEpi_ =_IF_( ( _aInclStrat_ _EQ_ _TRUE_ ) _AND_ ( _sMixDepthW_ _GE_ _cMinDepthHypEpi_ ) _AND_ ( _uDepthW_ _GE_ _sMixDepthW_ ) ) _THEN_ _sMixDepthW_ _ELSEIF_ ( ( _aInclStrat_ _EQ_ _TRUE_ ) _AND_ ( (_sMixDepthW_ _LE_ _cMinDepthHypEpi_ )   _OR_ (_uDepthW_ _LE_ _cMinDepthHypEpi_ ) ) ) _THEN_ _cMinDepthHypEpi_ _ELSEIF_ ( _aInclStrat_ _EQ_ _FALSE_) _THEN_ _uDepthW_ _ELSE_ _uDepthW_ - _uDepthWHyp_ _ENDIF_	=$M8=N8	=$M8=O8	=$M8=P8	_uDptWE_	uDptWE	uDptWE																																																		
"=IF(COUNTBLANK(A10)<1,ROW()-2,-1)"	0	0	0	0	_MassHyp_	_m_	0	Conversion_factor_from_concentration_to_mass	Conversion_factor_from_concentration_to_mass	-	-1	_MassHyp_ = _IF_ _CalcMass_ _EQ_ _TRUE_ _THEN_ _uDepthWHyp_ _ELSE_ 1.0 _ENDIF_	_MassHyp_ = _IF_ _CalcMass_ _EQ_ _TRUE_ _THEN_ _uDepthWHyp_ _ELSE_ 1.0 _ENDIF_	_MassHyp_ = _IF_ _CalcMass_ _EQ_ _TRUE_ _THEN_ _uDepthWHyp_ _ELSE_ 1.0 _ENDIF_	_MassHyp_ = _IF_ _CalcMass_ _EQ_ _TRUE_ _THEN_ _uDepthWHyp_ _ELSE_ 1.0 _ENDIF_	=$M9=N9	=$M9=O9	=$M9=P9	_MassH_	MassH	MassH																																																		
"=IF(COUNTBLANK(A11)<1,ROW()-2,-1)"	0	0	0	0	_MassEpi_	_m_	0	Conversion_factor_from_concentration_to_mass	Conversion_factor_from_concentration_to_mass	-	-1	_MassEpi_ = _IF_ _CalcMass_ _EQ_ _TRUE_ _THEN_ _uDepthWEpi_ _ELSE_ 1.0 _ENDIF_	_MassEpi_ = _IF_ _CalcMass_ _EQ_ _TRUE_ _THEN_ _uDepthWEpi_ _ELSE_ 1.0 _ENDIF_	_MassEpi_ = _IF_ _CalcMass_ _EQ_ _TRUE_ _THEN_ _uDepthWEpi_ _ELSE_ 1.0 _ENDIF_	_MassEpi_ = _IF_ _CalcMass_ _EQ_ _TRUE_ _THEN_ _uDepthWEpi_ _ELSE_ 1.0 _ENDIF_	=$M10=N10	=$M10=O10	=$M10=P10	_MassE_	MassE	MassE																																																		
"=IF(COUNTBLANK(A12)<1,ROW()-2,-1)"	0	0	0	0	_MassWM_	_m_	0	Conversion_factor_from_concentration_to_mass	Conversion_factor_from_concentration_to_mass	-	-1	_MassWM_ = _IF_ _CalcMass_ _EQ_ _TRUE_ _THEN_ _sDepthWM_ _ELSE_ 1.0 _ENDIF_	_MassWM_ = _IF_ _CalcMass_ _EQ_ _TRUE_ _THEN_ _sDepthWM_ _ELSE_ 1.0 _ENDIF_	_MassWM_ = _IF_ _CalcMass_ _EQ_ _TRUE_ _THEN_ _sDepthWM_ _ELSE_ 1.0 _ENDIF_	_MassWM_ = _IF_ _CalcMass_ _EQ_ _TRUE_ _THEN_ _sDepthWM_ _ELSE_ 1.0 _ENDIF_	=$M11=N11	=$M11=O11	=$M11=P11	_MassWM_	MassWM	MassWM																																																		
"=IF(COUNTBLANK(A13)<1,ROW()-2,-1)"	0	0	0	0	_oNH4WHyp_	_gN_*_m_^-3	0	state_auxiliary	state_auxiliary_with_error_catching	-	-1	_oNH4WHyp_= _IF_ _sNH4WHyp_ _GT_ _NearZero_ _THEN_ _sNH4WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oNH4WHyp_= _IF_ _sNH4WHyp_ _GT_ _NearZero_ _THEN_ _sNH4WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oNH4WHyp_= _IF_ _sNH4WHyp_ _GT_ _NearZero_ _THEN_ _sNH4WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oNH4WHyp_= _IF_ _sNH4WHyp_ _GT_ _NearZero_ _THEN_ _sNH4WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	=$M12=N12	=$M12=O12	=$M12=P12	_oNH4WH_	oNH4WH	oNH4WH																																																		
"=IF(COUNTBLANK(A14)<1,ROW()-2,-1)"	0	0	0	0	_oNO3WHyp_	_gN_*_m_^-3	0	state_auxiliary	state_auxiliary_with_error_catching	-	-1	_oNO3WHyp_= _IF_ _sNO3WHyp_ _GT_ _NearZero_ _THEN_ _sNO3WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oNO3WHyp_= _IF_ _sNO3WHyp_ _GT_ _NearZero_ _THEN_ _sNO3WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oNO3WHyp_= _IF_ _sNO3WHyp_ _GT_ _NearZero_ _THEN_ _sNO3WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oNO3WHyp_= _IF_ _sNO3WHyp_ _GT_ _NearZero_ _THEN_ _sNO3WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	=$M13=N13	=$M13=O13	=$M13=P13	_oNO3WH_	oNO3WH	oNO3WH																																																		
"=IF(COUNTBLANK(A15)<1,ROW()-2,-1)"	0	0	0	0	_oPO4WHyp_	_gP_*_m_^-3	0	state_auxiliary	state_auxiliary_with_error_catching	-	-1	_oPO4WHyp_= _IF_ _sPO4WHyp_ _GT_ _NearZero_ _THEN_ _sPO4WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oPO4WHyp_= _IF_ _sPO4WHyp_ _GT_ _NearZero_ _THEN_ _sPO4WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oPO4WHyp_= _IF_ _sPO4WHyp_ _GT_ _NearZero_ _THEN_ _sPO4WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oPO4WHyp_= _IF_ _sPO4WHyp_ _GT_ _NearZero_ _THEN_ _sPO4WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	=$M14=N14	=$M14=O14	=$M14=P14	_oPO4WH_	oPO4WH	oPO4WH																																																		
"=IF(COUNTBLANK(A16)<1,ROW()-2,-1)"	0	0	0	0	_oPAIMWHyp_	_gP_*_m_^-3	0	state_auxiliary	state_auxiliary_with_error_catching	-	-1	_oPAIMWHyp_= _IF_ _sPAIMWHyp_ _GT_ _NearZero_ _THEN_ _sPAIMWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oPAIMWHyp_= _IF_ _sPAIMWHyp_ _GT_ _NearZero_ _THEN_ _sPAIMWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oPAIMWHyp_= _IF_ _sPAIMWHyp_ _GT_ _NearZero_ _THEN_ _sPAIMWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oPAIMWHyp_= _IF_ _sPAIMWHyp_ _GT_ _NearZero_ _THEN_ _sPAIMWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	=$M15=N15	=$M15=O15	=$M15=P15	_oPAIMWH_	oPAIMWH	oPAIMWH																																																		
"=IF(COUNTBLANK(A17)<1,ROW()-2,-1)"	0	0	0	0	_oSiO2WHyp_	_gSi_*_m_^-3	0	state_auxiliary	state_auxiliary_with_error_catching	-	-1	_oSiO2WHyp_= _IF_ _sSiO2WHyp_ _GT_ _NearZero_ _THEN_ _sSiO2WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oSiO2WHyp_= _IF_ _sSiO2WHyp_ _GT_ _NearZero_ _THEN_ _sSiO2WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oSiO2WHyp_= _IF_ _sSiO2WHyp_ _GT_ _NearZero_ _THEN_ _sSiO2WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oSiO2WHyp_= _IF_ _sSiO2WHyp_ _GT_ _NearZero_ _THEN_ _sSiO2WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	=$M16=N16	=$M16=O16	=$M16=P16	_oSiO2WH_	oSiO2WH	oSiO2WH																																																		
"=IF(COUNTBLANK(A18)<1,ROW()-2,-1)"	1	0	0	0	_oO2WHyp_	_gO2_*_m_^-3	0	state_auxiliary	state_auxiliary_with_error_catching	-	-1	_oO2WHyp_= _IF_ _sO2WHyp_ _GT_ _NearZero_ _THEN_ _sO2WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oO2WHyp_= _IF_ _sO2WHyp_ _GT_ _NearZero_ _THEN_ _sO2WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oO2WHyp_= _IF_ _sO2WHyp_ _GT_ _NearZero_ _THEN_ _sO2WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oO2WHyp_= _IF_ _sO2WHyp_ _GT_ _NearZero_ _THEN_ _sO2WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	=$M17=N17	=$M17=O17	=$M17=P17	_oO2WH_	oO2WH	oO2WH																																																		
"=IF(COUNTBLANK(A19)<1,ROW()-2,-1)"	0	0	0	0	_oDDetWHyp_	_gDW_*_m_^-3	0	state_auxiliary	state_auxiliary_with_error_catching	-	-1	_oDDetWHyp_= _IF_ _sDDetWHyp_ _GT_ _NearZero_ _THEN_ _sDDetWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oDDetWHyp_= _IF_ _sDDetWHyp_ _GT_ _NearZero_ _THEN_ _sDDetWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oDDetWHyp_= _IF_ _sDDetWHyp_ _GT_ _NearZero_ _THEN_ _sDDetWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oDDetWHyp_= _IF_ _sDDetWHyp_ _GT_ _NearZero_ _THEN_ _sDDetWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	=$M18=N18	=$M18=O18	=$M18=P18	_oDDtWH_	oDDtWH	oDDtWH																																																		
"=IF(COUNTBLANK(A20)<1,ROW()-2,-1)"	0	0	0	0	_oNDetWHyp_	_gN_*_m_^-3	0	state_auxiliary	state_auxiliary_with_error_catching	-	-1	_oNDetWHyp_= _IF_ _sNDetWHyp_ _GT_ _NearZero_ _THEN_ _sNDetWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oNDetWHyp_= _IF_ _sNDetWHyp_ _GT_ _NearZero_ _THEN_ _sNDetWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oNDetWHyp_= _IF_ _sNDetWHyp_ _GT_ _NearZero_ _THEN_ _sNDetWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oNDetWHyp_= _IF_ _sNDetWHyp_ _GT_ _NearZero_ _THEN_ _sNDetWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	=$M19=N19	=$M19=O19	=$M19=P19	_oNDtWH_	oNDtWH	oNDtWH																																																		
"=IF(COUNTBLANK(A21)<1,ROW()-2,-1)"	0	0	0	0	_oPDetWHyp_	_gP_*_m_^-3	0	state_auxiliary	state_auxiliary_with_error_catching	-	-1	_oPDetWHyp_= _IF_ _sPDetWHyp_ _GT_ _NearZero_ _THEN_ _sPDetWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oPDetWHyp_= _IF_ _sPDetWHyp_ _GT_ _NearZero_ _THEN_ _sPDetWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oPDetWHyp_= _IF_ _sPDetWHyp_ _GT_ _NearZero_ _THEN_ _sPDetWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oPDetWHyp_= _IF_ _sPDetWHyp_ _GT_ _NearZero_ _THEN_ _sPDetWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	=$M20=N20	=$M20=O20	=$M20=P20	_oPDtWH_	oPDtWH	oPDtWH																																																		
