lId	iReport	iSensitivity	iCalibration	iBifurcation	sName	sUnit	sMinValue	sMaxValue	sDefault0	sSet1	sSet2	sSet3	sSet1Changed	sSet2Changed	sSet3Changed	sDescription	sRemarks	-1	Open water	shortName	_InclTran_	_InclPrim_	_InclPhytS_	_InclBed_	_InclWeb_	_InclMarsh_	Duflow																																									
"=IF(COUNTBLANK(A3)<1,ROW()-2,-1)"	0	0	0	0	_InitCalc_	0	0	0	0	0	0	0	=J2=K2	=J2=L2	=J2=M2	Switch	Initialisation	-1	If_T_skip_calculation_of_initial_values_used_in_case_of_REINIT_command	InitCalc	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A4)<1,ROW()-2,-1)"	0	0	0	0	_CalcMass_	0	0	0	1	1	1	1	=J3=K3	=J3=L3	=J3=M3	Switch	Initialisation	-1	If_T_calculation_of_model_in_mass_if_F_calculation_of_model_in_concentration	CalcMass	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A5)<1,ROW()-2,-1)"	0	0	0	0	_ConstDepth_	0	0	0	1	1	1	1	=J4=K4	=J4=L4	=J4=M4	Switch	Initialisation	-1	If_T_water_depth_kept_constant_by_daily_dredging	ContDpth	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A6)<1,ROW()-2,-1)"	0	0	0	0	_InitDepth_	0	0	0	1	1	1	1	=J5=K5	=J5=L5	=J5=M5	Switch	Initialisation	-1	If_T_calculate_epilimnion_and_hypolimnion_depth_based_on_cDepthW0_	InitDpth	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A7)<1,ROW()-2,-1)"	0	0	0	0	_ConstTrans_	0	0	0	1	1	1	1	=J6=K6	=J6=L6	=J6=M6	Switch	Module	-1	If_T_calculate_with_constant_atmospheric_transmissivity_in_latitude_module	ContTans	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A8)<1,ROW()-2,-1)"	0	0	0	0	_InclTran_	0	0	0	1	1	1	1	=J7=K7	=J7=L7	=J7=M7	Switch	Module	-1	Include_transport_processes_of_substances_module	InclTran	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A9)<1,ROW()-2,-1)"	0	0	0	0	_InclVeg_	0	0	1	1	1	1	1	=J8=K8	=J8=L8	=J8=M8	Switch	Module	-1	Include_vegetation_module	InclV	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A10)<1,ROW()-2,-1)"	0	0	0	0	_InclBur_	0	0	1	1	1	1	1	=J9=K9	=J9=L9	=J9=M9	Switch	Module	-1	Include_burial_module	InclBur	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A11)<1,ROW()-2,-1)"	0	0	0	0	_InclWeb_	0	0	1	1	1	1	1	=J10=K10	=J10=L10	=J10=M10	Switch	Module	-1	Include_food_web_module	InclWeb	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A12)<1,ROW()-2,-1)"	0	0	0	0	_InclMarsh_	0	0	1	1	1	1	1	=J11=K11	=J11=L11	=J11=M11	Switch	Module	-1	Include_marsh_zone_module	InclMrsh	0	0	0	0	0	0	PARM																																									
