sName	sUnit	sMinValue	sMaxValue	sDefault0	sSet2	
_InitCalc_	0	0	0	0	0	
_CalcMass_	0	0	0	1	1	
_ConstDepth_	0	0	0	1	1	
_InitDepth_	0	0	0	1	1	
_InitMixDepth_	0	0	0	1	1	
_ConstTrans_	0	0	0	1	1	
_InclTran_	0	0	0	1	1	
_InclVeg_	0	0	1	1	1	
_InclBur_	0	0	1	1	1	
_InclWeb_	0	0	1	1	1	
_InclMarsh_	0	0	1	1	1	
_InclSeason_	0	0	1	1	1	
_InclStrat_	0	0	0	0	1	
_InclLat_	0	0	0	1	1	
_InclSurf_	0	0	0	0	0	
_InclNfix_	0	0	0	0	0	
_calcMixDepth_	0	0	0	0	1	
_calcQEv_	0	0	0	0	0	
_DayStart_	_d_	0	0	0	0	
_ReadDepthW_	0	0	0	0	0	
_ReadTemp_	0	0	0	0	0	
_ReadStrat_	0	0	0	0	0	
_ReadLOut_	0	0	0	0	0	
_ReadVWind_	0	0	0	0	0	
_ReadQIn_	0	0	0	0	0	
_ReadQOut_	0	0	0	0	0	
_ReadQPrec_	0	0	0	0	0	
_ReadQEv_	0	0	0	0	0	
_ReadQGround_	0	0	0	0	0	
_ReadMixDepth_	0	0	0	0	0	
_ReadPLoad_	0	0	0	1	1	
_ReadNLoad_	0	0	0	0	0	
_ReadNutFrac_	0	0	0	0	0	
_ReadPLoadPhyt_	0	0	0	0	0	
_ReadDLoadDet_	0	0	0	0	0	
_ReadVegShade_	0	0	0	0	0	
_ReadTranFrac_	0	0	0	0	0	
_ReadDLoadIM_	0	0	0	0	0	
_UseExpVeg_	0	0	1	1	1	
_UsePhotVeg_	0	0	1	1	1	
_UseLWinVeg_	0	0	1	1	1	
_UseVegHeight_	0	0	1	0	0	
_UseSeasonLoad_	0	0	0	0	0	
_UsePulseLoad_	0	0	0	0	0	
_mDepthW_	_m_	0	0	-99999	-99999	
_mMixDepth_	_m_	0	0	-99999	4.5	
_mTempEpi_	_oC_	0	0	-99999	-99999	
_mTempHyp_	_oC_	0	0	-99999	-99999	
