lId	iReport	iSensitivity	iCalibration	iBifurcation	sName	sUnit	sTargetValue	sEquation	sDescription	sRemark	-1	code versie 5.09.00.00	code versie 5.09.00.01	code versie 5.09.00.02	code versie 5.09.00.03	v00-v01	v00-v02	v00-v03	derivNames	short_derivName	Duflow																																																	
0	0	0	0	0	_sTime_	_d_	0	Time	Time	-	-1	_sTime_ = _time_ + _DayStart_	_sTime_ = _time_ + _DayStart_	_sTime_ = _time_ + _DayStart_	_sTime_ = _time_ + _DayStart_	TRUE	TRUE	TRUE	_sTime_	sTime	sTime																																																	
1	0	0	0	0	_DaysInYear_	_d_	0	Days	Days_In_A_Year	-	-1	_DaysInYear_ = _DaysPerYear_* 1	_DaysInYear_ = _DaysPerYear_* 1	_DaysInYear_ = _DaysPerYear_* 1	_DaysInYear_ = _DaysPerYear_* 1	TRUE	TRUE	TRUE	_DaysInY_	DaysInY	DaysInY																																																	
2	0	0	0	0	_aInclStrat_	0	0	Stratification	If_T_Include_stratification	-	-1	_aInclStrat_ =_IF_ ( _InclStrat_ _EQ_ _FALSE_ ) _THEN_ 0.0 _ELSE_ 1.0 _ENDIF_	_aInclStrat_ =_IF_ ( _InclStrat_ _EQ_ _FALSE_ ) _THEN_ 0.0 _ELSE_ 1.0 _ENDIF_	_aInclStrat_ =_IF_ ( _InclStrat_ _EQ_ _FALSE_ ) _THEN_ 0.0 _ELSE_ 1.0 _ENDIF_	_aInclStrat_ =_IF_ ( _InclStrat_ _EQ_ _FALSE_ ) _THEN_ 0.0 _ELSE_ 1.0 _ENDIF_	TRUE	TRUE	TRUE	_aInlSrat_	aInlSrat	aInlSrat																																																	
3	0	0	0	0	_uDepthMixMeas_	_m_	0	Depth	Mixing_depth	-	-1	_uDepthMixMeas_ =_IF_ ( _calcMixDepth_ _EQ_ _TRUE_ ) _THEN_ _cAMix_ * _POW_ ( _cFetch_ _POWOPERATOR_ (_cBMix_) ) _ELSEIF_ (_ReadMixDepth_ _EQ_ _TRUE_) _THEN_ _mMixDepth_ _ELSE_ _cMixDepth_ _ENDIF_	_uDepthMixMeas_ =_IF_ ( _calcMixDepth_ _EQ_ _TRUE_ ) _THEN_ _cAMix_ * _POW_ ( _cFetch_ _POWOPERATOR_ (_cBMix_) ) _ELSEIF_ (_ReadMixDepth_ _EQ_ _TRUE_) _THEN_ _mMixDepth_ _ELSE_ _cMixDepth_ _ENDIF_	_uDepthMixMeas_ =_IF_ ( _calcMixDepth_ _EQ_ _TRUE_ ) _THEN_ _cAMix_ * _POW_ ( _cFetch_ _POWOPERATOR_ (_cBMix_) ) _ELSEIF_ (_ReadMixDepth_ _EQ_ _TRUE_) _THEN_ _mMixDepth_ _ELSE_ _cMixDepth_ _ENDIF_	_uDepthMixMeas_ =_IF_ ( _calcMixDepth_ _EQ_ _TRUE_ ) _THEN_ _cAMix_ * _POW_ ( _cFetch_ _POWOPERATOR_ (_cBMix_) ) _ELSEIF_ (_ReadMixDepth_ _EQ_ _TRUE_) _THEN_ _mMixDepth_ _ELSE_ _cMixDepth_ _ENDIF_	TRUE	TRUE	TRUE	_uDptMix_	uDptMix	uDptMix																																																	
4	0	0	0	0	_uDepthW_	_m_	0	state_auxiliary	state_auxiliary_with_error_catching	-	-1	_uDepthW_= _IF_ _sDepthW_ _GT_ (_cMinDepthHypEpi_ + _cMinDepthHypEpi_) _THEN_ _sDepthW_ _ELSE_ (_cMinDepthHypEpi_ + _cMinDepthHypEpi_) _ENDIF_	_uDepthW_= _IF_ _sDepthW_ _GT_ (_cMinDepthHypEpi_ + _cMinDepthHypEpi_) _THEN_ _sDepthW_ _ELSE_ (_cMinDepthHypEpi_ + _cMinDepthHypEpi_) _ENDIF_	_uDepthW_= _IF_ _sDepthW_ _GT_ (_cMinDepthHypEpi_ + _cMinDepthHypEpi_) _THEN_ _sDepthW_ _ELSE_ (_cMinDepthHypEpi_ + _cMinDepthHypEpi_) _ENDIF_	_uDepthW_= _IF_ _sDepthW_ _GT_ (_cMinDepthHypEpi_ + _cMinDepthHypEpi_) _THEN_ _sDepthW_ _ELSE_ (_cMinDepthHypEpi_ + _cMinDepthHypEpi_) _ENDIF_	TRUE	TRUE	TRUE	_uDptW_	uDptW	uDptW																																																	
5	0	0	0	0	_uDepthWHyp_	_m_	0	Depth	Total_Depth	-	-1	_uDepthWHyp_ =_IF_ ( ( _aInclStrat_ _EQ_ _TRUE_ ) _AND_ ((_uDepthW_ - _sMixDepthW_ ) _GE_ _cMinDepthHypEpi_ ) ) _THEN_ _uDepthW_ - _sMixDepthW_  _ELSE_ _cMinDepthHypEpi_ _ENDIF_	_uDepthWHyp_ =_IF_ ( ( _aInclStrat_ _EQ_ _TRUE_ ) _AND_ ((_uDepthW_ - _sMixDepthW_ ) _GE_ _cMinDepthHypEpi_ ) ) _THEN_ _uDepthW_ - _sMixDepthW_  _ELSE_ _cMinDepthHypEpi_ _ENDIF_	_uDepthWHyp_ =_IF_ ( ( _aInclStrat_ _EQ_ _TRUE_ ) _AND_ ((_uDepthW_ - _sMixDepthW_ ) _GE_ _cMinDepthHypEpi_ ) ) _THEN_ _uDepthW_ - _sMixDepthW_  _ELSE_ _cMinDepthHypEpi_ _ENDIF_	_uDepthWHyp_ =_IF_ ( ( _aInclStrat_ _EQ_ _TRUE_ ) _AND_ ((_uDepthW_ - _sMixDepthW_ ) _GE_ _cMinDepthHypEpi_ ) ) _THEN_ _uDepthW_ - _sMixDepthW_  _ELSE_ _cMinDepthHypEpi_ _ENDIF_	TRUE	TRUE	TRUE	_uDptWH_	uDptWH	uDptWH																																																	
6	0	0	0	0	_uDepthWEpi_	_m_	0	Depth	Total_Depth	-	-1	_uDepthWEpi_ =_IF_( ( _aInclStrat_ _EQ_ _TRUE_ ) _AND_ ( _sMixDepthW_ _GE_ _cMinDepthHypEpi_ ) _AND_ ( _uDepthW_ _GE_ _sMixDepthW_ ) ) _THEN_ _sMixDepthW_ _ELSEIF_ ( ( _aInclStrat_ _EQ_ _TRUE_ ) _AND_ ( (_sMixDepthW_ _LE_ _cMinDepthHypEpi_ ) _OR_ (_uDepthW_ _LE_ _cMinDepthHypEpi_ ) ) ) _THEN_ _cMinDepthHypEpi_ _ELSEIF_ ( _aInclStrat_ _EQ_ _FALSE_) _THEN_ _uDepthW_ _ELSE_ _uDepthW_ - _uDepthWHyp_ _ENDIF_	_uDepthWEpi_ =_IF_( ( _aInclStrat_ _EQ_ _TRUE_ ) _AND_ ( _sMixDepthW_ _GE_ _cMinDepthHypEpi_ ) _AND_ ( _uDepthW_ _GE_ _sMixDepthW_ ) ) _THEN_ _sMixDepthW_ _ELSEIF_ ( ( _aInclStrat_ _EQ_ _TRUE_ ) _AND_ ( (_sMixDepthW_ _LE_ _cMinDepthHypEpi_ ) _OR_ (_uDepthW_ _LE_ _cMinDepthHypEpi_ ) ) ) _THEN_ _cMinDepthHypEpi_ _ELSEIF_ ( _aInclStrat_ _EQ_ _FALSE_) _THEN_ _uDepthW_ _ELSE_ _uDepthW_ - _uDepthWHyp_ _ENDIF_	_uDepthWEpi_ =_IF_( ( _aInclStrat_ _EQ_ _TRUE_ ) _AND_ ( _sMixDepthW_ _GE_ _cMinDepthHypEpi_ ) _AND_ ( _uDepthW_ _GE_ _sMixDepthW_ ) ) _THEN_ _sMixDepthW_ _ELSEIF_ ( ( _aInclStrat_ _EQ_ _TRUE_ ) _AND_ ( (_sMixDepthW_ _LE_ _cMinDepthHypEpi_ ) _OR_ (_uDepthW_ _LE_ _cMinDepthHypEpi_ ) ) ) _THEN_ _cMinDepthHypEpi_ _ELSEIF_ ( _aInclStrat_ _EQ_ _FALSE_) _THEN_ _uDepthW_ _ELSE_ _uDepthW_ - _uDepthWHyp_ _ENDIF_	_uDepthWEpi_ =_IF_( ( _aInclStrat_ _EQ_ _TRUE_ ) _AND_ ( _sMixDepthW_ _GE_ _cMinDepthHypEpi_ ) _AND_ ( _uDepthW_ _GE_ _sMixDepthW_ ) ) _THEN_ _sMixDepthW_ _ELSEIF_ ( ( _aInclStrat_ _EQ_ _TRUE_ ) _AND_ ( (_sMixDepthW_ _LE_ _cMinDepthHypEpi_ ) _OR_ (_uDepthW_ _LE_ _cMinDepthHypEpi_ ) ) ) _THEN_ _cMinDepthHypEpi_ _ELSEIF_ ( _aInclStrat_ _EQ_ _FALSE_) _THEN_ _uDepthW_ _ELSE_ _uDepthW_ - _uDepthWHyp_ _ENDIF_	TRUE	TRUE	TRUE	_uDptWE_	uDptWE	uDptWE																																																	
7	0	0	0	0	_MassHyp_	_m_	0	Conversion_factor_from_concentration_to_mass	Conversion_factor_from_concentration_to_mass	-	-1	_MassHyp_ = _IF_ _CalcMass_ _EQ_ _TRUE_ _THEN_ _uDepthWHyp_ _ELSE_ 1.0 _ENDIF_	_MassHyp_ = _IF_ _CalcMass_ _EQ_ _TRUE_ _THEN_ _uDepthWHyp_ _ELSE_ 1.0 _ENDIF_	_MassHyp_ = _IF_ _CalcMass_ _EQ_ _TRUE_ _THEN_ _uDepthWHyp_ _ELSE_ 1.0 _ENDIF_	_MassHyp_ = _IF_ _CalcMass_ _EQ_ _TRUE_ _THEN_ _uDepthWHyp_ _ELSE_ 1.0 _ENDIF_	TRUE	TRUE	TRUE	_MassH_	MassH	MassH																																																	
8	0	0	0	0	_MassEpi_	_m_	0	Conversion_factor_from_concentration_to_mass	Conversion_factor_from_concentration_to_mass	-	-1	_MassEpi_ = _IF_ _CalcMass_ _EQ_ _TRUE_ _THEN_ _uDepthWEpi_ _ELSE_ 1.0 _ENDIF_	_MassEpi_ = _IF_ _CalcMass_ _EQ_ _TRUE_ _THEN_ _uDepthWEpi_ _ELSE_ 1.0 _ENDIF_	_MassEpi_ = _IF_ _CalcMass_ _EQ_ _TRUE_ _THEN_ _uDepthWEpi_ _ELSE_ 1.0 _ENDIF_	_MassEpi_ = _IF_ _CalcMass_ _EQ_ _TRUE_ _THEN_ _uDepthWEpi_ _ELSE_ 1.0 _ENDIF_	TRUE	TRUE	TRUE	_MassE_	MassE	MassE																																																	
9	0	0	0	0	_MassWM_	_m_	0	Conversion_factor_from_concentration_to_mass	Conversion_factor_from_concentration_to_mass	-	-1	_MassWM_ = _IF_ _CalcMass_ _EQ_ _TRUE_ _THEN_ _sDepthWM_ _ELSE_ 1.0 _ENDIF_	_MassWM_ = _IF_ _CalcMass_ _EQ_ _TRUE_ _THEN_ _sDepthWM_ _ELSE_ 1.0 _ENDIF_	_MassWM_ = _IF_ _CalcMass_ _EQ_ _TRUE_ _THEN_ _sDepthWM_ _ELSE_ 1.0 _ENDIF_	_MassWM_ = _IF_ _CalcMass_ _EQ_ _TRUE_ _THEN_ _sDepthWM_ _ELSE_ 1.0 _ENDIF_	TRUE	TRUE	TRUE	_MassWM_	MassWM	MassWM																																																	
