Type Id Name Set0 Set1 Set2 Set3 Rel0-1 Rel0-2 Rel0-3 Dif0-1 Dif0-2 Dif0-3
Parameter 0 _InitCalc_ 0 0 0 0 0 0 0 0 0 0
Parameter 1 _CalcMass_ 1 1 1 1 0 0 0 0 0 0
Parameter 2 _ConstDepth_ 1 1 1 1 0 0 0 0 0 0
Parameter 3 _InitDepth_ 1 1 1 1 0 0 0 0 0 0
Parameter 4 _ConstTrans_ 1 1 1 1 0 0 0 0 0 0
Parameter 5 _InclTran_ 1 1 1 1 0 0 0 0 0 0
Parameter 6 _InclVeg_ 1 1 1 1 0 0 0 0 0 0
Parameter 7 _InclBur_ 1 1 1 1 0 0 0 0 0 0
Parameter 8 _InclWeb_ 1 1 1 1 0 0 0 0 0 0
Parameter 9 _InclMarsh_ 0 0 0 0 0 0 0 0 0 0
Parameter 10 _InclSeason_ 1 1 1 1 0 0 0 0 0 0
Parameter 11 _InclStrat_ 1 1 1 1 0 0 0 0 0 0
Parameter 12 _calcMixDepth_ 1 1 1 1 0 0 0 0 0 0
Parameter 13 _InclLat_ 1 1 1 1 0 0 0 0 0 0
Parameter 14 _calcQEv_ 0 0 0 0 0 0 0 0 0 0
Parameter 15 _DayStart_ 0 0 0 0 0 0 0 0 0 0
Parameter 16 _ReadTemp_ 0 0 0 0 0 0 0 0 0 0
Parameter 17 _ReadStrat_ 0 0 0 0 0 0 0 0 0 0
Parameter 18 _ReadLOut_ 0 0 0 0 0 0 0 0 0 0
Parameter 19 _ReadVWind_ 0 0 0 0 0 0 0 0 0 0
Parameter 20 _ReadQIn_ 0 0 0 0 0 0 0 0 0 0
Parameter 21 _ReadQOut_ 0 0 0 0 0 0 0 0 0 0
Parameter 22 _ReadQEv_ 0 0 0 0 0 0 0 0 0 0
Parameter 23 _ReadPLoad_ 1 1 1 1 0 0 0 0 0 0
Parameter 24 _ReadNLoad_ 0 0 0 0 0 0 0 0 0 0
Parameter 25 _ReadNutFrac_ 0 0 0 0 0 0 0 0 0 0
Parameter 26 _ReadPLoadPhyt_ 0 0 0 0 0 0 0 0 0 0
Parameter 27 _ReadDLoadDet_ 0 0 0 0 0 0 0 0 0 0
Parameter 28 _ReadVegShade_ 0 0 0 0 0 0 0 0 0 0
Parameter 29 _UsePowerVeg_ 0 0 0 0 0 0 0 0 0 0
Parameter 30 _UseLWinVeg_ 1 1 1 1 0 0 0 0 0 0
Parameter 31 _ReadDLoadIM_ 0 0 0 0 0 0 0 0 0 0
Parameter 32 _UseSeasonLoad_ 0 0 0 0 0 0 0 0 0 0
Parameter 33 _UsePulseLoad_ 0 0 0 0 0 0 0 0 0 0
Parameter 34 _mTempEpi_ 0 0 0 0 0 0 0 0 0 0
Parameter 35 _mTempHyp_ 0 0 0 0 0 0 0 0 0 0
Parameter 36 _mStrat_ 0 0 0 0 0 0 0 0 0 0
Parameter 37 _mLOut_ 0 0 0 0 0 0 0 0 0 0
Parameter 38 _mVegShade_ 0 0 0 0 0 0 0 0 0 0
Parameter 39 _mVWind_ 0 0 0 0 0 0 0 0 0 0
Parameter 40 _mQIn_ 0 0 0 0 0 0 0 0 0 0
Parameter 41 _mQOut_ 0 0 0 0 0 0 0 0 0 0
Parameter 42 _mQEv_ 0 0 0 0 0 0 0 0 0 0
Parameter 43 _mPLoad_ 0.0001 0.0001 0.0001 0.0001 0 0 0 0 0 0
Parameter 44 _mPLoadPO4_ 0 0 0 0 0 0 0 0 0 0
Parameter 45 _mPLoadOrg_ 0 0 0 0 0 0 0 0 0 0
Parameter 46 _mPLoadPhytTot_ 0 0 0 0 0 0 0 0 0 0
Parameter 47 _mNLoad_ 0 0 0 0 0 0 0 0 0 0
Parameter 48 _mNLoadNH4_ 0 0 0 0 0 0 0 0 0 0
Parameter 49 _mNLoadNO3_ 0 0 0 0 0 0 0 0 0 0
Parameter 50 _mNLoadOrg_ 0 0 0 0 0 0 0 0 0 0
Parameter 51 _mDLoadDet_ 0 0 0 0 0 0 0 0 0 0
Parameter 52 _mDLoadIM_ 0 0 0 0 0 0 0 0 0 0
Parameter 53 _BeginTime_ 0 0 0 0 0 0 0 0 0 0
Parameter 54 _EndTime_ 365 365 365 365 0 0 0 0 0 0
Parameter 55 _YearZero_ 0 0 0 0 0 0 0 0 0 0
Parameter 56 _cDepthW0_ 2 2 2 2 0 0 0 0 0 0
Parameter 57 _cMinDepthHyp_ 0.5 0.5 0.5 0.5 0 0 0 0 0 0
Parameter 58 _cFetch_ 1000 1000 1000 1000 0 0 0 0 0 0
Parameter 59 _fMarsh_ 0.1 0.1 0.1 0.1 0 0 0 0 0 0
Parameter 60 _fLutum_ 0.1 0.1 0.1 0.1 0 0 0 0 0 0
Parameter 61 _kExchW_ 0.1 0.1 0.1 0.1 0 0 0 0 0 0
Parameter 62 _kExchMaxW_ 0.0001728 0.0001728 0.0001728 0.0001728 0 0 0 0 0 0
Parameter 63 _cDepthMix_ 5.8 5.8 5.8 5.8 0 0 0 0 0 0
Parameter 64 _cAMix_ 0.569 0.569 0.569 0.569 0 0 0 0 0 0
Parameter 65 _cBMix_ 0.336 0.336 0.336 0.336 0 0 0 0 0 0
Parameter 66 _cfHyp_ 1 1 1 1 0 0 0 0 0 0
Parameter 67 _fFeDIM_ 0.01 0.01 0.01 0.01 0 0 0 0 0 0
Parameter 68 _fAlDIM_ 0.01 0.01 0.01 0.01 0 0 0 0 0 0
Parameter 69 _fVegShade_ 0.6 0.6 0.6 0.6 0 0 0 0 0 0
Parameter 70 _cTmAveEpi_ 12 12 12 12 0 0 0 0 0 0
Parameter 71 _cTmVarEpi_ 10 10 10 10 0 0 0 0 0 0
Parameter 72 _cTmAveHyp_ 5 5 5 5 0 0 0 0 0 0
Parameter 73 _cTmVarHyp_ 2 2 2 2 0 0 0 0 0 0
Parameter 74 _cStratTm_ 1 1 1 1 0 0 0 0 0 0
Parameter 75 _cTimeLag_ 40 40 40 40 0 0 0 0 0 0
Parameter 76 _cVWind_ 5 5 5 5 0 0 0 0 0 0
Parameter 77 _cQInf_ 0 0 0 0 0 0 0 0 0 0
Parameter 78 _cPBackLoad_ 0 0 0 0 0 0 0 0 0 0
Parameter 79 _cNBackLoad_ 0 0 0 0 0 0 0 0 0 0
Parameter 80 _cLDayAve_ 1e+007 1e+007 1e+007 1e+007 0 0 0 0 0 0
Parameter 81 _cLDayVar_ 8e+006 8e+006 8e+006 8e+006 0 0 0 0 0 0
Parameter 82 _cfDayAve_ 0.5 0.5 0.5 0.5 0 0 0 0 0 0
Parameter 83 _cfDayVar_ 0.2 0.2 0.2 0.2 0 0 0 0 0 0
Parameter 84 _fRefl_ 0.2 0.2 0.2 0.2 0 0 0 0 0 0
Parameter 85 _cExtWat_ 0.5 0.5 0.5 0.5 0 0 0 0 0 0
Parameter 86 _cDredInterval_ 9.999e+006 9.999e+006 9.999e+006 9.999e+006 0 0 0 0 0 0
Parameter 87 _cDredStart_ 9.999e+006 9.999e+006 9.999e+006 9.999e+006 0 0 0 0 0 0
Parameter 88 _cDepthRef_ 1e-028 1e-028 1e-028 1e-028 0 0 0 0 0 0
Parameter 89 _cLengDred_ 10 10 10 10 0 0 0 0 0 0
Parameter 90 _fEffDred_ 0.95 0.95 0.95 0.95 0 0 0 0 0 0
Parameter 91 _fEffDredBent_ 0.5 0.5 0.5 0.5 0 0 0 0 0 0
Parameter 92 _fPAR_ 0.48 0.48 0.48 0.48 0 0 0 0 0 0
Parameter 93 _cLAlloVeg_ 50.1 50.1 50.1 50.1 0 0 0 0 0 0
Parameter 94 _cExtSpDet_ 0.15 0.15 0.15 0.15 0 0 0 0 0 0
Parameter 95 _cExtSpIM_ 0.05 0.05 0.05 0.05 0 0 0 0 0 0
Parameter 96 _fDTotS0_ 0.3 0.3 0.3 0.3 0 0 0 0 0 0
Parameter 97 _fDOrgS0_ 0.1 0.1 0.1 0.1 0 0 0 0 0 0
Parameter 98 _fDDetS0_ 0.05 0.05 0.05 0.05 0 0 0 0 0 0
Parameter 99 _fSedPhyt0_ 0.01 0.01 0.01 0.01 0 0 0 0 0 0
Parameter 100 _fPInorgS0_ 0.0005 0.0005 0.0005 0.0005 0 0 0 0 0 0
Parameter 101 _fPAdsS0_ 0.99 0.99 0.99 0.99 0 0 0 0 0 0
Parameter 102 _cPDDet0_ 0.0025 0.0025 0.0025 0.0025 0 0 0 0 0 0
Parameter 103 _cNDDet0_ 0.025 0.025 0.025 0.025 0 0 0 0 0 0
Parameter 104 _cSiDDet0_ 0.01 0.01 0.01 0.01 0 0 0 0 0 0
Parameter 105 _cPDHum0_ 0.005 0.005 0.005 0.005 0 0 0 0 0 0
Parameter 106 _cNDHum0_ 0.05 0.05 0.05 0.05 0 0 0 0 0 0
Parameter 107 _cPDPhyt0_ 0.01 0.01 0.01 0.01 0 0 0 0 0 0
Parameter 108 _cNDPhyt0_ 0.1 0.1 0.1 0.1 0 0 0 0 0 0
Parameter 109 _cPDDiat0_ 0.01 0.01 0.01 0.01 0 0 0 0 0 0
Parameter 110 _cNDDiat0_ 0.1 0.1 0.1 0.1 0 0 0 0 0 0
Parameter 111 _cPDGren0_ 0.01 0.01 0.01 0.01 0 0 0 0 0 0
Parameter 112 _cNDGren0_ 0.1 0.1 0.1 0.1 0 0 0 0 0 0
Parameter 113 _cPDBlue0_ 0.01 0.01 0.01 0.01 0 0 0 0 0 0
Parameter 114 _cNDBlue0_ 0.1 0.1 0.1 0.1 0 0 0 0 0 0
Parameter 115 _cPDVeg0_ 0.002 0.002 0.002 0.002 0 0 0 0 0 0
Parameter 116 _cNDVeg0_ 0.02 0.02 0.02 0.02 0 0 0 0 0 0
Parameter 117 _cSiDDiat_ 0.15 0.15 0.15 0.15 0 0 0 0 0 0
Parameter 118 _cPDZooRef_ 0.01 0.01 0.01 0.01 0 0 0 0 0 0
Parameter 119 _cNDZooRef_ 0.07 0.07 0.07 0.07 0 0 0 0 0 0
Parameter 120 _cPDBentRef_ 0.01 0.01 0.01 0.01 0 0 0 0 0 0
Parameter 121 _cNDBentRef_ 0.07 0.07 0.07 0.07 0 0 0 0 0 0
Parameter 122 _cPDFishRef_ 0.022 0.022 0.022 0.022 0 0 0 0 0 0
Parameter 123 _cNDFishRef_ 0.1 0.1 0.1 0.1 0 0 0 0 0 0
Parameter 124 _cPDPisc_ 0.022 0.022 0.022 0.022 0 0 0 0 0 0
Parameter 125 _cNDPisc_ 0.1 0.1 0.1 0.1 0 0 0 0 0 0
Parameter 126 _cQIn_ 20 20 20 20 0 0 0 0 0 0
Parameter 127 _cQInSum_ 20 20 20 20 0 0 0 0 0 0
Parameter 128 _cQInWin_ 20 20 20 20 0 0 0 0 0 0
Parameter 129 _cMaxWOut_ 1 1 1 1 0 0 0 0 0 0
Parameter 130 _cDepthWMax_ 5 5 5 5 0 0 0 0 0 0
Parameter 131 _cQInExtraApril1_ 0 0 0 0 0 0 0 0 0 0
Parameter 132 _cQInExtraOct1_ 0 0 0 0 0 0 0 0 0 0
Parameter 133 _cQOutExtraApril1_ 0 0 0 0 0 0 0 0 0 0
Parameter 134 _cQOutExtraOct1_ 0 0 0 0 0 0 0 0 0 0
Parameter 135 _cQEvAve_ 1.5 1.5 1.5 1.5 0 0 0 0 0 0
Parameter 136 _cQEvVar_ 1.3 1.3 1.3 1.3 0 0 0 0 0 0
