dTime	dValue	-1
0	0.0006	-1
89	0.0006	-1
90	0.01	-1
200	0.01	-1
201	0.0006	-1
454	0.0006	-1
455	0.01	-1
565	0.01	-1
566	0.0006	-1
819	0.0006	-1
820	0.01	-1
930	0.01	-1
931	0.0006	-1
1184	0.0006	-1
1185	0.01	-1
1295	0.01	-1
1296	0.0006	-1
1549	0.0006	-1
1550	0.01	-1
1660	0.01	-1
1661	0.0006	-1
1914	0.0006	-1
1915	0.01	-1
2025	0.01	-1
2026	0.0006	-1
2279	0.0006	-1
2280	0.01	-1
2390	0.01	-1
2391	0.0006	-1
2644	0.0006	-1
2645	0.01	-1
2755	0.01	-1
2756	0.0006	-1
3009	0.0006	-1
3010	0.01	-1
3120	0.01	-1
3121	0.0006	-1
3374	0.0006	-1
3375	0.01	-1
3485	0.01	-1
3486	0.0006	-1
3739	0.0006	-1
3740	0.01	-1
3850	0.01	-1
3851	0.0006	-1
4104	0.0006	-1
4105	0.01	-1
4215	0.01	-1
4216	0.0006	-1
4469	0.0006	-1
4470	0.01	-1
4580	0.01	-1
4581	0.0006	-1
4834	0.0006	-1
4835	0.01	-1
4945	0.01	-1
4946	0.0006	-1
5199	0.0006	-1
5200	0.01	-1
5310	0.01	-1
5311	0.0006	-1
5564	0.0006	-1
5565	0.01	-1
5675	0.01	-1
5676	0.0006	-1
5929	0.0006	-1
5930	0.01	-1
6040	0.01	-1
6041	0.0006	-1
6294	0.0006	-1
6295	0.01	-1
6405	0.01	-1
6406	0.0006	-1
6659	0.0006	-1
6660	0.01	-1
6770	0.01	-1
6771	0.0006	-1
7024	0.0006	-1
7025	0.01	-1
7135	0.01	-1
7136	0.0006	-1
7389	0.0006	-1
7390	0.01	-1
7500	0.01	-1
7501	0.0006	-1
7754	0.0006	-1
7755	0.01	-1
7865	0.01	-1
7866	0.0006	-1
8119	0.0006	-1
8120	0.01	-1
8230	0.01	-1
8231	0.0006	-1
8484	0.0006	-1
8485	0.01	-1
8595	0.01	-1
8596	0.0006	-1
8849	0.0006	-1
8850	0.01	-1
8960	0.01	-1
8961	0.0006	-1
9214	0.0006	-1
9215	0.01	-1
9325	0.01	-1
9326	0.0006	-1
9579	0.0006	-1
9580	0.01	-1
9690	0.01	-1
9691	0.0006	-1
9944	0.0006	-1
9945	0.01	-1
10055	0.01	-1
10056	0.0006	-1
10309	0.0006	-1
10310	0.01	-1
10420	0.01	-1
10421	0.0006	-1
10674	0.0006	-1
10675	0.01	-1
10785	0.01	-1
10786	0.0006	-1
11039	0.0006	-1
11040	0.01	-1
11150	0.01	-1
11151	0.0006	-1
11404	0.0006	-1
11405	0.01	-1
11515	0.01	-1
11516	0.0006	-1
11769	0.0006	-1
11770	0.01	-1
11880	0.01	-1
11881	0.0006	-1
12134	0.0006	-1
12135	0.01	-1
12245	0.01	-1
12246	0.0006	-1
12499	0.0006	-1
12500	0.01	-1
-1		
