dTime	dValue	-1
0	0	-1
120	0	-1
121	1	-1
273	1	-1
274	0	-1
485	0	-1
486	1	-1
638	1	-1
639	0	-1
850	0	-1
851	1	-1
1003	1	-1
1004	0	-1
1215	0	-1
1216	1	-1
1368	1	-1
1369	0	-1
1580	0	-1
1581	1	-1
1733	1	-1
1734	0	-1
1945	0	-1
1946	1	-1
2098	1	-1
2099	0	-1
2310	0	-1
2311	1	-1
2463	1	-1
2464	0	-1
2675	0	-1
2676	1	-1
2828	1	-1
2829	0	-1
3040	0	-1
3041	1	-1
3193	1	-1
3194	0	-1
3405	0	-1
3406	1	-1
3558	1	-1
3559	0	-1
3770	0	-1
3771	1	-1
3923	1	-1
3924	0	-1
4135	0	-1
4136	1	-1
4288	1	-1
4289	0	-1
4500	0	-1
4501	1	-1
4653	1	-1
4654	0	-1
4865	0	-1
4866	1	-1
5018	1	-1
5019	0	-1
5230	0	-1
5231	1	-1
5383	1	-1
5384	0	-1
5595	0	-1
5596	1	-1
5748	1	-1
5749	0	-1
5960	0	-1
5961	1	-1
6113	1	-1
6114	0	-1
6325	0	-1
6326	1	-1
6478	1	-1
6479	0	-1
6690	0	-1
6691	1	-1
6843	1	-1
6844	0	-1
7055	0	-1
7056	1	-1
7208	1	-1
7209	0	-1
7420	0	-1
7421	1	-1
7573	1	-1
7574	0	-1
7785	0	-1
7786	1	-1
7938	1	-1
7939	0	-1
8150	0	-1
8151	1	-1
8303	1	-1
8304	0	-1
8515	0	-1
8516	1	-1
8668	1	-1
8669	0	-1
8880	0	-1
8881	1	-1
9033	1	-1
9034	0	-1
9245	0	-1
9246	1	-1
9398	1	-1
9399	0	-1
9610	0	-1
9611	1	-1
9763	1	-1
9764	0	-1
9975	0	-1
9976	1	-1
10128	1	-1
10129	0	-1
10340	0	-1
10341	1	-1
10493	1	-1
10494	0	-1
10705	0	-1
10706	1	-1
10858	1	-1
10859	0	-1
11070	0	-1
11071	1	-1
11223	1	-1
11224	0	-1
11435	0	-1
11436	1	-1
11588	1	-1
11589	0	-1
11800	0	-1
11801	1	-1
11953	1	-1
11954	0	-1
12165	0	-1
12166	1	-1
12318	1	-1
12319	0	-1
12530	0	-1
12531	1	-1
12683	1	-1
12684	0	-1
12895	0	-1
12896	1	-1
13048	1	-1
13049	0	-1
13260	0	-1
13261	1	-1
13413	1	-1
13414	0	-1
13625	0	-1
13626	1	-1
13778	1	-1
13779	0	-1
13990	0	-1
13991	1	-1
14143	1	-1
14144	0	-1
14355	0	-1
14356	1	-1
14508	1	-1
14509	0	-1
14720	0	-1
14721	1	-1
14873	1	-1
14874	0	-1
15085	0	-1
15086	1	-1
15238	1	-1
15239	0	-1
15450	0	-1
15451	1	-1
15603	1	-1
15604	0	-1
15815	0	-1
15816	1	-1
15968	1	-1
15969	0	-1
16180	0	-1
16181	1	-1
16333	1	-1
16334	0	-1
16545	0	-1
16546	1	-1
16698	1	-1
16699	0	-1
16910	0	-1
16911	1	-1
17063	1	-1
17064	0	-1
17275	0	-1
17276	1	-1
17428	1	-1
17429	0	-1
17640	0	-1
17641	1	-1
17793	1	-1
17794	0	-1
18005	0	-1
18006	1	-1
18158	1	-1
18159	0	-1
18370	0	-1
18371	1	-1
18523	1	-1
18524	0	-1
18735	0	-1
18736	1	-1
18888	1	-1
18889	0	-1
19100	0	-1
19101	1	-1
19253	1	-1
19254	0	-1
19465	0	-1
19466	1	-1
19618	1	-1
19619	0	-1
19830	0	-1
19831	1	-1
19983	1	-1
19984	0	-1
20195	0	-1
20196	1	-1
20348	1	-1
20349	0	-1
20560	0	-1
20561	1	-1
20713	1	-1
20714	0	-1
20925	0	-1
20926	1	-1
21078	1	-1
21079	0	-1
21290	0	-1
21291	1	-1
21443	1	-1
21444	0	-1
21655	0	-1
21656	1	-1
21808	1	-1
21809	0	-1
22020	0	-1
22021	1	-1
22173	1	-1
22174	0	-1
22385	0	-1
22386	1	-1
22538	1	-1
22539	0	-1
22750	0	-1
22751	1	-1
22903	1	-1
22904	0	-1
23115	0	-1
23116	1	-1
23268	1	-1
23269	0	-1
23480	0	-1
23481	1	-1
23633	1	-1
23634	0	-1
23845	0	-1
23846	1	-1
23998	1	-1
23999	0	-1
24210	0	-1
24211	1	-1
24363	1	-1
24364	0	-1
-1		
