dTime	dValue	-1
0	3.220399153	-1
1	3.139293785	-1
2	3.060814035	-1
3	2.984983159	-1
4	2.911823627	-1
5	2.841357117	-1
6	2.773604512	-1
7	2.708585886	-1
8	2.646320507	-1
9	2.586826825	-1
10	2.530122469	-1
11	2.476224243	-1
12	2.425148116	-1
13	2.376909225	-1
14	2.331521864	-1
15	2.288999481	-1
16	2.249354677	-1
17	2.2125992	-1
18	2.178743941	-1
19	2.147798932	-1
20	2.119773343	-1
21	2.094675479	-1
22	2.072512775	-1
23	2.053291801	-1
24	2.037018251	-1
25	2.023696947	-1
26	2.013331837	-1
27	2.005925993	-1
28	2.001481608	-1
29	2	-1
30	2.001481608	-1
31	2.005925993	-1
32	2.013331837	-1
33	2.023696947	-1
34	2.037018251	-1
35	2.053291801	-1
36	2.072512775	-1
37	2.094675479	-1
38	2.119773343	-1
39	2.147798932	-1
40	2.178743941	-1
41	2.2125992	-1
42	2.249354677	-1
43	2.288999481	-1
44	2.331521864	-1
45	2.376909225	-1
46	2.425148116	-1
47	2.476224243	-1
48	2.530122469	-1
49	2.586826825	-1
50	2.646320507	-1
51	2.708585886	-1
52	2.773604512	-1
53	2.841357117	-1
54	2.911823627	-1
55	2.984983159	-1
56	3.060814035	-1
57	3.139293785	-1
58	3.220399153	-1
59	3.304106107	-1
60	3.390389841	-1
61	3.479224789	-1
62	3.570584626	-1
63	3.664442282	-1
64	3.760769942	-1
65	3.859539065	-1
66	3.960720382	-1
67	4.06428391	-1
68	4.170198963	-1
69	4.278434155	-1
70	4.388957413	-1
71	4.501735988	-1
72	4.61673646	-1
73	4.733924752	-1
74	4.85326614	-1
75	4.974725258	-1
76	5.098266118	-1
77	5.22385211	-1
78	5.35144602	-1
79	5.481010041	-1
80	5.612505779	-1
81	5.74589427	-1
82	5.881135987	-1
83	6.018190856	-1
84	6.157018264	-1
85	6.297577073	-1
86	6.439825633	-1
87	6.583721793	-1
88	6.729222914	-1
89	6.876285879	-1
90	7.024867111	-1
91	7.174922582	-1
92	7.326407828	-1
93	7.479277961	-1
94	7.63348768	-1
95	7.788991292	-1
96	7.945742716	-1
97	8.103695505	-1
98	8.262802852	-1
99	8.423017612	-1
100	8.584292308	-1
101	8.746579153	-1
102	8.909830056	-1
103	9.073996644	-1
104	9.239030269	-1
105	9.404882029	-1
106	9.571502779	-1
107	9.738843145	-1
108	9.90685354	-1
109	10.07548418	-1
110	10.2446851	-1
111	10.41440615	-1
112	10.58459705	-1
113	10.75520736	-1
114	10.92618653	-1
115	11.0974839	-1
116	11.2690487	-1
117	11.4408301	-1
118	11.61277719	-1
119	11.78483903	-1
120	11.95696462	-1
121	12.12910296	-1
122	12.30120305	-1
123	12.47321388	-1
124	12.64508449	-1
125	12.81676395	-1
