dTime	dValue	-1
0	0	-1
40	0.1	-1
120	0.25	-1
180	0.1	-1
365	0	-1
366	0	-1
406	0.1	-1
486	0.25	-1
546	0.1	-1
731	0	-1
732	0	-1
772	0.1	-1
852	0.25	-1
912	0.1	-1
1097	0	-1
1098	0	-1
1138	0.1	-1
1218	0.25	-1
1278	0.1	-1
1463	0	-1
1464	0	-1
1504	0.1	-1
1584	0.25	-1
1644	0.1	-1
1829	0	-1
1830	0	-1
1870	0.1	-1
1950	0.25	-1
2010	0.1	-1
2195	0	-1
2196	0	-1
2236	0.1	-1
2316	0.25	-1
2376	0.1	-1
2561	0	-1
2562	0	-1
2602	0.1	-1
2682	0.25	-1
2742	0.1	-1
2927	0	-1
2928	0	-1
2968	0.1	-1
3048	0.25	-1
3108	0.1	-1
3293	0	-1
3294	0	-1
3334	0.1	-1
3414	0.25	-1
3474	0.1	-1
3659	0	-1
3660	0	-1
3700	0.1	-1
3780	0.25	-1
3840	0.1	-1
4025	0	-1
4026	0	-1
4066	0.1	-1
4146	0.25	-1
4206	0.1	-1
4391	0	-1
4392	0	-1
4432	0.1	-1
4512	0.25	-1
4572	0.1	-1
4757	0	-1
4758	0	-1
4798	0.1	-1
4878	0.25	-1
4938	0.1	-1
5123	0	-1
5124	0	-1
5164	0.1	-1
5244	0.25	-1
5304	0.1	-1
5489	0	-1
5490	0	-1
5530	0.1	-1
5610	0.25	-1
5670	0.1	-1
5855	0	-1
5856	0	-1
5896	0.1	-1
5976	0.25	-1
6036	0.1	-1
6221	0	-1
6222	0	-1
6262	0.1	-1
6342	0.25	-1
6402	0.1	-1
6587	0	-1
6588	0	-1
6628	0.1	-1
6708	0.25	-1
6768	0.1	-1
6953	0	-1
6954	0	-1
6994	0.1	-1
7074	0.25	-1
7134	0.1	-1
7319	0	-1
7320	0	-1
7360	0.1	-1
7440	0.25	-1
7500	0.1	-1
7685	0	-1
7686	0	-1
7726	0.1	-1
7806	0.25	-1
7866	0.1	-1
8051	0	-1
8052	0	-1
8092	0.1	-1
8172	0.25	-1
8232	0.1	-1
8417	0	-1
8418	0	-1
8458	0.1	-1
8538	0.25	-1
8598	0.1	-1
8783	0	-1
8784	0	-1
8824	0.1	-1
8904	0.25	-1
8964	0.1	-1
9149	0	-1
9150	0	-1
9190	0.1	-1
9270	0.25	-1
9330	0.1	-1
9515	0	-1
9516	0	-1
9556	0.1	-1
9636	0.25	-1
9696	0.1	-1
9881	0	-1
9882	0	-1
9922	0.1	-1
10002	0.25	-1
10062	0.1	-1
10247	0	-1
10248	0	-1
10288	0.1	-1
10368	0.25	-1
10428	0.1	-1
10613	0	-1
10614	0	-1
10654	0.1	-1
10734	0.25	-1
10794	0.1	-1
10979	0	-1
10980	0	-1
11020	0.1	-1
11100	0.25	-1
11160	0.1	-1
11345	0	-1
11346	0	-1
11386	0.1	-1
11466	0.25	-1
11526	0.1	-1
11711	0	-1
11712	0	-1
11752	0.1	-1
11832	0.25	-1
11892	0.1	-1
12077	0	-1
12078	0	-1
12118	0.1	-1
12198	0.25	-1
12258	0.1	-1
12443	0	-1
12444	0	-1
12484	0.1	-1
12564	0.25	-1
12624	0.1	-1
12809	0	-1
12810	0	-1
12850	0.1	-1
12930	0.25	-1
12990	0.1	-1
13175	0	-1
13176	0	-1
13216	0.1	-1
13296	0.25	-1
13356	0.1	-1
13541	0	-1
13542	0	-1
13582	0.1	-1
13662	0.25	-1
13722	0.1	-1
13907	0	-1
13908	0	-1
13948	0.1	-1
14028	0.25	-1
14088	0.1	-1
14273	0	-1
14274	0	-1
14314	0.1	-1
14394	0.25	-1
14454	0.1	-1
14639	0	-1
14640	0	-1
14680	0.1	-1
14760	0.25	-1
14820	0.1	-1
15005	0	-1
15006	0	-1
15046	0.1	-1
15126	0.25	-1
15186	0.1	-1
15371	0	-1
15372	0	-1
15412	0.1	-1
15492	0.25	-1
15552	0.1	-1
15737	0	-1
15738	0	-1
15778	0.1	-1
15858	0.25	-1
15918	0.1	-1
16103	0	-1
16104	0	-1
16144	0.1	-1
16224	0.25	-1
16284	0.1	-1
16469	0	-1
16470	0	-1
16510	0.1	-1
16590	0.25	-1
16650	0.1	-1
16835	0	-1
16836	0	-1
16876	0.1	-1
16956	0.25	-1
17016	0.1	-1
17201	0	-1
17202	0	-1
17242	0.1	-1
17322	0.25	-1
17382	0.1	-1
17567	0	-1
17568	0	-1
17608	0.1	-1
17688	0.25	-1
17748	0.1	-1
17933	0	-1
17934	0	-1
17974	0.1	-1
18054	0.25	-1
18114	0.1	-1
18299	0	-1
18300	0	-1
18340	0.1	-1
18420	0.25	-1
18480	0.1	-1
18665	0	-1
