lId	iReport	iSensitivity	iCalibration	iBifurcation	sName	sUnit	sMinValue	sMaxValue	sDefault0	sSet1	sSet2	sSet3	sSet1Changed	sSet2Changed	sSet3Changed	sDescription	sRemarks	-1	Open water	shortName	_InclTran_	_InclPrim_	_InclPhytS_	_InclBed_	_InclWeb_	_InclMarsh_	Duflow		
0	0	0	0	0	_InitCalc_	0	0	0	0	0	0	0	TRUE	TRUE	TRUE	Switch	Initialisation	-1	If_T_skip_calculation_of_initial_values_used_in_case_of_REINIT_command	InitCalc	0	0	0	0	0	0	PARM		
1	0	0	0	0	_CalcMass_	0	0	0	1	1	1	1	TRUE	TRUE	TRUE	Switch	Initialisation	-1	If_T_calculation_of_model_in_mass_if_F_calculation_of_model_in_concentration	CalcMass	0	0	0	0	0	0	PARM		
2	0	0	0	0	_ConstDepth_	0	0	0	1	1	1	1	TRUE	TRUE	TRUE	Switch	Initialisation	-1	If_T_sedimentation_does_not_cause_filling_of_lake_aka_water_depth_kept_constant_by_daily_dredging	ContDpth	0	0	0	0	0	0	PARM		
3	0	0	0	0	_InitDepth_	0	0	0	1	1	1	1	TRUE	TRUE	TRUE	Switch	Initialisation	-1	If_T_calculate_epilimnion_and_hypolimnion_depth_based_on_cDepthW0_	InitDpth	0	0	0	0	0	0	PARM		
4	0	0	0	0	_InitMixDepth_	0	0	0	1	1	1	1	TRUE	TRUE	TRUE	Switch	Initialisation	-1	If_T_use_measured_timeseries_mixing_depth	InMxDpth									
5	0	0	0	0	_ConstTrans_	0	0	0	1	1	1	1	TRUE	TRUE	TRUE	Switch	Module	-1	If_T_calculate_with_constant_atmospheric_transmissivity_in_latitude_module	ContTans	0	0	0	0	0	0	PARM		
6	0	0	0	0	_InclTran_	0	0	0	1	1	1	1	TRUE	TRUE	TRUE	Switch	Module	-1	Include_transport_processes_of_substances_module	InclTran	0	0	0	0	0	0	PARM		
7	0	0	0	0	_InclVeg_	0	0	1	1	1	1	1	TRUE	TRUE	TRUE	Switch	Module	-1	Include_vegetation_module	InclV	0	0	0	0	0	0	PARM		
8	0	0	0	0	_InclBur_	0	0	1	1	1	1	1	TRUE	TRUE	TRUE	Switch	Module	-1	Include_burial_module	InclBur	0	0	0	0	0	0	PARM		
9	0	0	0	0	_InclWeb_	0	0	1	1	1	1	1	TRUE	TRUE	TRUE	Switch	Module	-1	Include_food_web_module	InclWeb	0	0	0	0	0	0	PARM		
10	0	0	0	0	_InclMarsh_	0	0	1	1	1	1	1	TRUE	TRUE	TRUE	Switch	Module	-1	Include_marsh_zone_module	InclMrsh	0	0	0	0	0	0	PARM		
11	0	0	0	0	_InclSeason_	0	0	1	1	1	1	1	TRUE	TRUE	TRUE	Switch	Module	-1	Include_season_module	IncSeson	0	0	0	0	0	0	PARM		
12	0	0	0	0	_InclStrat_	0	0	0	0	0	1	1	TRUE	FALSE	FALSE	Switch	Module	-1	Include_Stratification	InclSrat	0	0	0	0	0	0	PARM		
13	0	0	0	0	_InclLat_	0	0	0	1	1	1	1	TRUE	TRUE	TRUE	Switch	Module	-1	If_T_include_latitude_module	InclLat	0	0	0	0	0	0	PARM		
14	0	0	0	0	_InclSurf_	0	0	0	0	0	0	0	TRUE	TRUE	TRUE	Switch	Module	-1	Include_Surface_layer	InclSurf	0	0	0	0	0	0	PARM		
15	0	0	0	0	_InclNfix_	0	0	0	0	0	0	0	TRUE	TRUE	TRUE	Switch	Module	-1	Include_nitrogen_fixation	InclNfix	0	0	0	0	0	0	PARM		
16	0	0	0	0	_calcMixDepth_	0	0	0	0	0	1	1	TRUE	FALSE	FALSE	Switch	Module	-1	If_T_calculate_mixing_depth_if_F_use_constant	calixpth	0	0	0	0	0	0	PARM		
17	0	0	0	0	_calcQEv_	0	0	0	0	0	0	0	TRUE	TRUE	TRUE	Switch	Module	-1	If_T_calculate_evaporation_based_on_Thornthwaite_1984	calcQEv	0	0	0	0	0	0	PARM		
18	0	0	0	0	_DayStart_	_d_	0	0	0	0	0	0	TRUE	TRUE	TRUE	Invoer	Forcing	-1	Day_of_year_to_start_model	DayStart	0	0	0	0	0	0	PARM		
19	0	0	0	0	_ReadDepthW_	0	0	0	0	0	0	0	TRUE	TRUE	TRUE	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_water_temperature_otherwise_sinus	ReadDW	0	0	0	0	0	0	dummy		
20	0	0	0	0	_ReadTemp_	0	0	0	0	0	0	0	TRUE	TRUE	TRUE	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_water_temperature_otherwise_sinus	ReadTemp	0	0	0	0	0	0	dummy		
21	0	0	0	0	_ReadStrat_	0	0	0	0	0	0	0	TRUE	TRUE	TRUE	Switch	Forcing	-1	If_TRUE_use_external_time-series_of_stratification_period	ReadSrat	0	0	0	0	0	0	dummy		
22	0	0	0	0	_ReadLOut_	0	0	0	0	0	0	0	TRUE	TRUE	TRUE	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_light_otherwise_sinus	ReadLOut	0	0	0	0	0	0	dummy		
23	0	0	0	0	_ReadVWind_	0	0	0	0	0	0	0	TRUE	TRUE	TRUE	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_wind_otherwise_constant	ReadVind	0	0	0	0	0	0	dummy		
24	0	0	0	0	_ReadQIn_	0	0	0	0	0	0	0	TRUE	TRUE	TRUE	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_inflow_otherwise_constant	ReadQIn	0	0	0	0	0	0	dummy		
25	0	0	0	0	_ReadQOut_	0	0	0	0	0	0	0	TRUE	TRUE	TRUE	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_outflow_otherwise_constant	ReaQOut	0	0	0	0	0	0	dummy		
26	0	0	0	0	_ReadQPrec_	0	0	0	0	0	0	0	TRUE	TRUE	TRUE	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_precipitation_otherwise_zero	ReadQPrc	0	0	0	0	0	0	dummy		
27	0	0	0	0	_ReadQEv_	0	0	0	0	0	0	0	TRUE	TRUE	TRUE	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_evaporation_otherwise_constant	ReadQEv	0	0	0	0	0	0	dummy		
28	0	0	0	0	_ReadQGround_	0	0	0	0	0	0	0	TRUE	TRUE	TRUE	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_groundwater_infiltration_and_seepage_otherwise_constant	ReadQGr	0	0	0	0	0	0	dummy		
29	0	0	0	0	_ReadMixDepth_	0	0	0	0	0	0	0	TRUE	TRUE	TRUE	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_mixing_depth_otherwise_constant	ReadMixD	0	0	0	0	0	0	dummy		
30	0	0	0	0	_ReadPLoad_	0	0	0	1	1	1	1	TRUE	TRUE	TRUE	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_P_loading_otherwise_constant	ReadPoad	0	0	0	0	0	0	dummy		
31	0	0	0	0	_ReadNLoad_	0	0	0	0	0	0	0	TRUE	TRUE	TRUE	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_N_loading_otherwise_constant	ReadNoad	0	0	0	0	0	0	dummy		
32	0	0	0	0	_ReadNutFrac_	0	0	0	0	0	0	0	TRUE	TRUE	TRUE	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_loading_with_diff_nutrient_fractions	ReaNurac	0	0	0	0	0	0	dummy		
33	0	0	0	0	_ReadPLoadPhyt_	0	0	0	0	0	0	0	TRUE	TRUE	TRUE	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_P_loading_algal_input_otherwise_constant	ReaPLadP	0	0	0	0	0	0	dummy		
34	0	0	0	0	_ReadDLoadDet_	0	0	0	0	0	0	0	TRUE	TRUE	TRUE	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_DDet_loading_otherwise_constant	ReaDLdDe	0	0	0	0	0	0	dummy		
35	0	0	0	0	_ReadVegShade_	0	0	0	0	0	0	0	TRUE	TRUE	TRUE	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_shading_percentage_of_plants_otherwise_constant	ReaVSade	0	0	0	0	0	0	dummy		
36	0	0	0	0	_ReadTranFrac_	0	0	0	0	0	0	0	TRUE	TRUE	TRUE	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_all_water_transported_substances	ReaTrrac	0	0	0	0	0	0	dummy		
37	0	0	0	0	_ReadDLoadIM_	0	0	0	0	0	0	0	TRUE	TRUE	TRUE	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_DIM_loading_otherwise_constant	ReaDLdIM	0	0	0	0	0	0	dummy		
38	0	0	0	0	_UseExpVeg_	0	0	1	1	1	1	1	TRUE	TRUE	TRUE	Switch	Forcing	-1	If_TRUE_use_an_exponential_function_for_vegetation_else_use_a_power_function	UsePoerV	0	0	0	0	0	0	dummy		
39	0	0	0	0	_UsePhotVeg_	0	0	1	1	1	1	1	TRUE	TRUE	TRUE	Switch	Forcing	-1	If_TRUE_use_a_photoperiod_cue_to_determine_reallocation_from_winter_to_summer_mode_if_FALSE_use_temperature	UsePhotV	0	0	0	0	0	0	dummy		
40	0	0	0	0	_UseLWinVeg_	0	0	1	1	1	1	1	TRUE	TRUE	TRUE	Switch	Forcing	-1	If_TRUE_use_a_light_integration_cue_to_initiate_overwintering_of_vegetation_otherwise_use_cDayWinVeg	UseLWinV	0	0	0	0	0	0	dummy		
41	0	0	0	0	_UseVegHeight_	0	0	1	0	0	0	0	TRUE	TRUE	TRUE	Switch	Forcing	-1	If_TRUE_use_a_dynamic_estimation_for_vegetation_height_based_on_stem_densities_and_biomass_otherwise_use_cVegHeight_ONLY_USE_IN_SPATIALLY_HETEROGENEOUS_MODELLING	UseVHe	0	0	0	0	0	0	dummy		
42	0	0	0	0	_UseSeasonLoad_	0	0	0	0	0	0	0	TRUE	TRUE	TRUE	Switch	Forcing	-1	If_TRUE_use_different_inflow_and_loading_for_summer_and_winter_periods	Useasoad	0	0	0	0	0	0	dummy		
43	0	0	0	0	_UsePulseLoad_	0	0	0	0	0	0	0	TRUE	TRUE	TRUE	Switch	Forcing	-1	If_TRUE_use_a_pulse-wise_nutrient_loading	Uselsoad	0	0	0	0	0	0	dummy		
44	0	0	0	0	_mDepthW_	_m_	0	0	-99999	-99999	-99999	-99999	TRUE	TRUE	TRUE	Parameter	Water	-1	Measured_water_depth	mDepthW	0	0	0	0	0	1	PARM		
45	0	0	0	0	_mMixDepth_	_m_	0	0	4.5	-99999	4.5	4.5	TRUE	TRUE	FALSE	Optional_input_table	Forcing	-1	Measured_time-series_of_mixing_depth_between_epilimnion_and_hypolymnion	mMixDW	0	0	0	0	0	0	PARM		
46	0	0	0	0	_mTempEpi_	_oC_	0	0	-99999	-99999	-99999	-99999	TRUE	TRUE	TRUE	Optional_input_table	Forcing	-1	Measured_time-series_of_water_temperature_Epilimion	mTempE	0	0	0	0	0	0	XT		
47	0	0	0	0	_mTempHyp_	_oC_	0	0	-99999	-99999	-99999	-99999	TRUE	TRUE	TRUE	Optional_input_table	Forcing	-1	Measured_time-series_of_water_temperature_Hypolimnion	mTempH	0	0	0	0	0	0	XT		
48	0	0	0	0	_mStrat_	0	0	0	-99999	-99999	-99999	-99999	TRUE	TRUE	TRUE	Optional_input_table	Forcing	-1	External_time-series_of_stratification_period_mstrat_equals_1_is_stratification_and_mstrat_equals_0_is_mixing	mStrat	0	0	0	0	0	0	XT		
49	0	0	0	0	_mLOut_	_J_*_s_^-1*_m_^-2	0	0	-99999	-99999	-99999	-99999	TRUE	TRUE	TRUE	Optional_input_table	Forcing	-1	Measured_time-series_of_light	mLOut	0	0	0	0	0	0	XT		
50	0	0	0	0	_mVegShade_	0	0	0	-99999	-99999	-99999	-99999	TRUE	TRUE	TRUE	Optional_input_table	Forcing	-1	Measured_time-series_of_fraction_shading_on_plants	mVShade	0	0	0	0	0	0	XT		
51	0	0	0	0	_mVWind_	_m_*_s^-1_	0	0	-99999	-99999	-99999	-99999	TRUE	TRUE	TRUE	Optional_input_table	Forcing	-1	Measured_time-series_of_wind	mVWind	0	0	0	0	0	0	XT		
52	0	0	0	0	_mQPrec_	_mm_*_d_^-1	0	0	-99999	-99999	-99999	-99999	TRUE	TRUE	TRUE	Optional_input_table	Forcing	-1	Measured_time-series_of_precipitation_in_form_of_water	mQInPrec	0	0	0	0	0	0	XT		
53	0	0	0	0	_mQInEpi_	_mm_*_d_^-1	0	0	-99999	-99999	-99999	-99999	TRUE	TRUE	TRUE	Optional_input_table	Forcing	-1	Measured_time-series_of_inflow_epilimnion	mQInEpi	0	0	0	0	0	0	XT		
54	0	0	0	0	_mQInHyp_	_mm_*_d_^-1	0	0	-99999	-99999	-99999	-99999	TRUE	TRUE	TRUE	Optional_input_table	Forcing	-1	Measured_time-series_of_inflow_hypolimnion	mQInHyp	0	0	0	0	0	0	XT		
55	0	0	0	0	_mQOutEpi_	_mm_*_d_^-1	0	0	-99999	-99999	-99999	-99999	TRUE	TRUE	TRUE	Optional_input_table	Forcing	-1	Measured_time-series_of_outflow_epilimnion	mQOutEpi	0	0	0	0	0	0	XT		
56	0	0	0	0	_mQOutHyp_	_mm_*_d_^-1	0	0	-99999	-99999	-99999	-99999	TRUE	TRUE	TRUE	Optional_input_table	Forcing	-1	Measured_time-series_of_outflow_hypolimnion	mQOutHyp	0	0	0	0	0	0	XT		
57	0	0	0	0	_mQEv_	_mm_*_d_^-1	0	0	-99999	-99999	-99999	-99999	TRUE	TRUE	TRUE	Optional_input_table	Forcing	-1	Measured_time-series_of_evaporation	mQEv	0	0	0	0	0	0	XT		
58	0	0	0	0	_mQInSeep_	_mm_*_d_^-1	0	0	-99999	-99999	-99999	-99999	TRUE	TRUE	TRUE	Optional_input_table	Forcing	-1	Measured_time-series_of_seepage_rate_(water_flow_from_groundwater_to_water_column)	mQInSeep	0	0	0	0	0	0	XT		
59	0	0	0	0	_mQOutInf_	_mm_*_d_^-1	0	0	-99999	-99999	-99999	-99999	TRUE	TRUE	TRUE	Optional_input_table	Forcing	-1	Measured_time-series_of_infiltration_rate_(water_flow_from_water_column_to_groundwater)	mQOutInf	0	0	0	0	0	0	XT		
60	0	0	0	0	_mPLoadEpi_	_gP_*_m_^-2*_d_^-1	0.0001	0.01	0.005	0.001	0.005	0.001	FALSE	TRUE	FALSE	Optional_input_table	Forcing	-1	Measured_time-series_of_P_loading_for_epilimnion	mPLoadE	0	0	0	0	0	0	XT		
61	0	0	0	1	_mPLoadEpiMult_	0	0.1	10	1	1	1	1	TRUE	TRUE	TRUE	Optional_input_table	Forcing	-1	Multiplier_for_measured_time-series_of_P_loading_for_epilimnion	mPLoaMuE	0	0	0	0	0	0	XT		
62	0	0	0	0	_mPLoadPO4Epi_	_gP_*_m_^-2*_d_^-1	0	0	-99999	-99999	-99999	-99999	TRUE	TRUE	TRUE	Optional_input_table	Forcing	-1	Measured_time-series_of_PO4_loading_for_epilimnion	mPLoaPO4	0	0	0	0	0	0	XT		
63	0	0	0	0	_mPLoadOrgEpi_	_gP_*_m_^-2*_d_^-1	0	0	-99999	-99999	-99999	-99999	TRUE	TRUE	TRUE	Optional_input_table	Forcing	-1	Measured_time-series_of_loading_P_bound_to_org_matter_for_epilimnion	mPLoaOrg	0	0	0	0	0	0	XT		
64	0	0	0	0	_mPLoadPhytTotEpi_	_gP_*_m_^-2*_d_^-1	0	0	-99999	-99999	-99999	-99999	TRUE	TRUE	TRUE	Optional_input_table	Forcing	-1	Measured_time-series_of_P_loading_algal_input_for_epilimnion	mPLoaPhE	0	0	0	0	0	0	XT		
65	0	0	0	0	_mNLoadEpi_	_gN_*_m_^-2*_d_^-1	0	0	-99999	-99999	-99999	-99999	TRUE	TRUE	TRUE	Optional_input_table	Forcing	-1	Measured_time-series_of_N_loading_for_epilimnion	mNLoadE	0	0	0	0	0	0	XT		
66	0	0	0	0	_mNLoadNH4Epi_	_gN_*_m_^-2*_d_^-1	0	0	-99999	-99999	-99999	-99999	TRUE	TRUE	TRUE	Optional_input_table	Forcing	-1	Measured_time-series_of_NH4_loading_for_epilimnion	mNLoaNH4	0	0	0	0	0	0	XT		
67	0	0	0	0	_mNLoadNO3Epi_	_gN_*_m_^-2*_d_^-1	0	0	-99999	-99999	-99999	-99999	TRUE	TRUE	TRUE	Optional_input_table	Forcing	-1	Measured_time-series_of_NO3_loading_for_epilimnion	mNLoaNO3	0	0	0	0	0	0	XT		
68	0	0	0	0	_mNLoadOrgEpi_	_gN_*_m_^-2*_d_^-1	0	0	-99999	-99999	-99999	-99999	TRUE	TRUE	TRUE	Optional_input_table	Forcing	-1	Measured_time-series_of_loading_N_bound_to_org_matter_for_epilimnion	mNLoaOrg	0	0	0	0	0	0	XT		
69	0	0	0	0	_mNLoadPhytTotEpi_	_gN_*_m_^-2*_d_^-2	0	0	-99999	-99999	-99999	-99999	TRUE	TRUE	TRUE	Optional_input_table	Forcing	-1	Measured_time-series_of_loading_N_bound_to_phytoplankton_for_epilimnion	mNLoaPh	0	0	0	0	0	0	XT		
70	0	0	0	0	_mDLoadDetEpi_	_gDW_*_m_^-2*_d_^-1	0	0	-99999	-99999	-99999	-99999	TRUE	TRUE	TRUE	Optional_input_table	Forcing	-1	Measured_time-series_of_Detritus_loading_for_epilimnion	mDLoadDe	0	0	0	0	0	0	XT		
