dTime	dValue	-1
1	0.029178	-1
1	0.028879	-1
2	0.028561	-1
3	0.028339	-1
4	0.028135	-1
5	0.027924	-1
6	0.027678	-1
7	0.02745	-1
8	0.027227	-1
9	0.027009	-1
10	0.036629	-1
11	0.02719	-1
12	0.026858	-1
13	0.026572	-1
14	0.026253	-1
15	0.025991	-1
16	0.048636	-1
17	0.031464	-1
18	0.055117	-1
19	0.072979	-1
20	0.072556	-1
21	0.02819	-1
22	0.027881	-1
23	0.027616	-1
24	0.029302	-1
25	0.027493	-1
26	0.027251	-1
27	0.026936	-1
28	0.02673	-1
29	0.026464	-1
30	0.026255	-1
31	0.025934	-1
32	0.02581	-1
33	0.025536	-1
34	0.025427	-1
35	0.025341	-1
36	0.025868	-1
37	0.037323	-1
38	0.072794	-1
39	0.056239	-1
40	0.029175	-1
41	0.027402	-1
42	0.026985	-1
43	0.026431	-1
44	0.026439	-1
45	0.052112	-1
46	0.096147	-1
47	0.054306	-1
48	0.027587	-1
49	0.02695	-1
50	0.027036	-1
51	0.026804	-1
52	0.026577	-1
53	0.026084	-1
54	0.02534	-1
55	0.025556	-1
56	0.025082	-1
57	0.024974	-1
58	0.029891	-1
59	0.025044	-1
60	0.02824	-1
61	0.024923	-1
62	0.029452	-1
63	0.027151	-1
64	0.035709	-1
65	0.02377	-1
66	0.041247	-1
67	0.035651	-1
68	0.058266	-1
69	0.026076	-1
70	0.025028	-1
71	0.024318	-1
72	0.024055	-1
73	0.023486	-1
74	0.024244	-1
75	0.023795	-1
76	0.023788	-1
77	0.02347	-1
78	0.022152	-1
79	0.021712	-1
80	0.020914	-1
81	0.020047	-1
82	0.021347	-1
83	0.027064	-1
84	0.089151	-1
85	0.102324	-1
86	0.025327	-1
87	0.032821	-1
88	0.123045	-1
89	0.120492	-1
90	0.037196	-1
91	0.149331	-1
92	0.051575	-1
93	0.041853	-1
94	0.036812	-1
95	0.036325	-1
96	0.035727	-1
97	0.03694	-1
98	0.034306	-1
99	0.033854	-1
100	0.035288	-1
101	0.035327	-1
102	0.03512	-1
103	0.032393	-1
104	0.032048	-1
105	0.034502	-1
106	0.032794	-1
107	0.03212	-1
108	0.032072	-1
109	0.031802	-1
110	0.031785	-1
111	0.031593	-1
112	0.030883	-1
113	0.029138	-1
114	0.027626	-1
115	0.031323	-1
