dTime	dValue	-1
0	0.005419	-1
1	0.005362	-1
2	0.005302	-1
3	0.005262	-1
4	0.005225	-1
5	0.005186	-1
6	0.00514	-1
7	0.005097	-1
8	0.005055	-1
9	0.005015	-1
10	0.00927	-1
11	0.005054	-1
12	0.004989	-1
13	0.004934	-1
14	0.004873	-1
15	0.004823	-1
16	0.013797	-1
17	0.006846	-1
18	0.013711	-1
19	0.017552	-1
20	0.016791	-1
21	0.005255	-1
22	0.005196	-1
23	0.005147	-1
24	0.006987	-1
25	0.005127	-1
26	0.005081	-1
27	0.005019	-1
28	0.004981	-1
29	0.00493	-1
30	0.00489	-1
31	0.004827	-1
32	0.004805	-1
33	0.004751	-1
34	0.004849	-1
35	0.004834	-1
36	0.005772	-1
37	0.009906	-1
38	0.01958	-1
39	0.013497	-1
40	0.005747	-1
41	0.005124	-1
42	0.005041	-1
43	0.004929	-1
44	0.004937	-1
45	0.014704	-1
46	0.022855	-1
47	0.0124	-1
48	0.005271	-1
49	0.005024	-1
50	0.005049	-1
51	0.005004	-1
52	0.004961	-1
53	0.004861	-1
54	0.004709	-1
55	0.004762	-1
56	0.005136	-1
57	0.005353	-1
58	0.008664	-1
59	0.005131	-1
60	0.00702	-1
61	0.005345	-1
62	0.007179	-1
63	0.006255	-1
64	0.009107	-1
65	0.004397	-1
66	0.01139	-1
67	0.008199	-1
68	0.015059	-1
69	0.005337	-1
70	0.00465	-1
71	0.004508	-1
72	0.00446	-1
73	0.004346	-1
74	0.004513	-1
75	0.004421	-1
76	0.004424	-1
77	0.004359	-1
78	0.004084	-1
79	0.003998	-1
80	0.003835	-1
81	0.003659	-1
82	0.005469	-1
83	0.00866	-1
84	0.026041	-1
85	0.029447	-1
86	0.00494	-1
87	0.009118	-1
88	0.030698	-1
89	0.029272	-1
90	0.008433	-1
91	0.040071	-1
92	0.013937	-1
93	0.012154	-1
94	0.008546	-1
95	0.007289	-1
96	0.008363	-1
97	0.011337	-1
98	0.006935	-1
99	0.006861	-1
100	0.010073	-1
101	0.01067	-1
102	0.00985	-1
103	0.006606	-1
104	0.006552	-1
105	0.013283	-1
106	0.009635	-1
107	0.006967	-1
108	0.008531	-1
109	0.006525	-1
110	0.008486	-1
111	0.008257	-1
112	0.006365	-1
113	0.006048	-1
114	0.005777	-1
115	0.009994	-1
116	0.00563	-1
117	0.010204	-1
118	0.010646	-1
119	0.006179	-1
120	0.009939	-1
121	0.005376	-1
122	0.005145	-1
123	0.00496	-1
124	0.004814	-1
125	0.004758	-1
126	0.004666	-1
127	0.004578	-1
128	0.004509	-1
129	0.00444	-1
