lId	iReport	iSensitivity	iCalibration	iBifurcation	sName	sUnit	sMinValue	sMaxValue	sDefault0	sSet1	sSet2	sSet3	sSet1Changed	sSet2Changed	sSet3Changed	sDescription	sRemarks	-1		Open water	Sediment	Marsh	Marsh sediment	Total	Depth	NH4	N)3	PO4	Adsorbed P	SiO4	Oxygen	Detritus	Humus	Inorganic matter	Diatoms	Green algae	Blue greens	Vegetation	Phragmites	Zooplankton	Zoobethos	Zoop/benth fish	Predatory fish	Mass balance	Hydrology	Inorganic matter	Dry weight	Nitrogen	Phosphorus	Silica	Oxygen	Main module	Transport processes	Abiotic and microbial module	Algal module	Vegetation module	Food web module	Marsh water module	Marsh vegetation module	_InclTran_	_InclPrim_	_InclPhytS_	_InclBed_	_InclWeb_	_InclMarsh_	iSensitivity	shortName	Duflow
0	0	0	0	0	_InitCalc_	-	0	0	0	0	0	0	TRUE	TRUE	TRUE	Switch	Initialisation	-1	If_T_skip_calculation_of_initial_values_used_in_case_of_REINIT_command																																														0		InitCalc	PARM
1	0	0	0	0	_ConstDepth_	-	0	0	1	1	1	1	TRUE	TRUE	TRUE	Switch	Dredging	-1	If_T_water_depth_kept_constant_by_daily_dredging																																														0		ConstDepth	PARM
2	0	0	0	0	_InclTran_	-	0	0	1	1	1	1	TRUE	TRUE	TRUE	Switch	Module	-1	transport_processes																																														0		InclTran	PARM
3	0	0	0	0	_InclPhytS_	-	0	0	1	1	1	1	TRUE	TRUE	TRUE	Switch	Module	-1	Include_phytoplankton_module																																														0		InclPhytS	PARM
4	0	0	0	0	_InclBed_	-	0	0	1	1	1	1	TRUE	TRUE	TRUE	Switch	Module	-1	Include_vegetation_module																																														0		InclBed	PARM
5	0	0	0	0	_InclWeb_	-	0	0	1	1	1	1	TRUE	TRUE	TRUE	Switch	Module	-1	Include_food_web_module																																														0		InclWeb	PARM
6	0	0	0	0	_InclMarsh_	-	0	0	1	1	1	1	TRUE	TRUE	TRUE	Switch	Module	-1	Include_marsh_zone																																														0		InclMarsh	PARM
7	0	0	0	0	_InclSeason_	-	0	0	1	1	1	1	TRUE	TRUE	TRUE	Switch	Module	-1	Include_season																																																InclSeason	PARM
8	0	0	0	0	_ReadTemp_	-	0	0	0	0	0	0	TRUE	TRUE	TRUE	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_water_temperature_otherwise_sinus																																														0		ReadTemp	PARM
9	0	0	0	0	_ReadLOut_	-	0	0	0	0	0	0	TRUE	TRUE	TRUE	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_light_otherwise_sinus																																														0		ReadLOut	PARM
