RunId	Time	_sPO4W_	_sO2W_	_sDDiatW_	_sDZoo_	_sDFiAd_	_sDVeg_	_sDBent_	_oPTotW_	_oChla_	_aSecchi_	_aDError_	_aNError_	_aPError_	-1
0	0	0.01	10	0.5	0.05	2	1	1	0.055	42.2234	0.780142	0	0	0	-1
0	1	0.00689141	10.7581	0.485274	0.0513329	1.9967	0.992696	1.00461	0.0604117	41.4339	0.781235	0	0	7.10543e-015	-1
0	2	0.00567844	11.511	0.473012	0.0530604	1.99234	0.983787	1.01072	0.0677599	40.5273	0.781541	0	0	7.10543e-015	-1
0	3	0.00569765	11.783	0.469551	0.0538437	1.99034	0.979755	1.01352	0.0709949	40.1705	0.781413	7.27596e-012	2.84217e-014	0	-1
0	4	0.00703772	12.3925	0.465418	0.0561571	1.98439	0.967907	1.02189	0.0803658	39.2474	0.780484	7.27596e-012	2.84217e-014	0	-1
0	5	0.0080297	12.58	0.465949	0.0571209	1.98191	0.963025	1.0254	0.0844556	38.8856	0.779916	7.27596e-012	2.84217e-014	7.10543e-015	-1
0	6	0.00941716	12.7474	0.46775	0.0581477	1.97926	0.957877	1.02913	0.0885319	38.5449	0.779295	0	5.68434e-014	0	-1
0	7	0.0114113	12.9027	0.471167	0.0593048	1.97629	0.952155	1.03333	0.0930013	38.1912	0.77858	7.27596e-012	5.68434e-014	0	-1
0	8	0.0135791	13.0187	0.475437	0.0603535	1.97362	0.947054	1.03712	0.0970678	37.8848	0.777919	7.27596e-012	5.68434e-014	-7.10543e-015	-1
0	9	0.0160844	13.1175	0.480855	0.0614242	1.97091	0.941941	1.04097	0.101061	37.5969	0.777274	7.27596e-012	5.68434e-014	0	-1
0	10	0.018846	13.2011	0.487356	0.0625068	1.96819	0.936879	1.04482	0.105002	37.325	0.776646	7.27596e-012	5.68434e-014	0	-1
0	11	0.0217221	13.2707	0.494738	0.0635728	1.96555	0.932009	1.04858	0.108793	37.075	0.776048	7.27596e-012	2.84217e-014	0	-1
0	12	0.0246273	13.329	0.502875	0.0646145	1.963	0.927369	1.05222	0.112399	36.8481	0.775479	7.27596e-012	2.84217e-014	7.10543e-015	-1
0	13	0.0275917	13.3797	0.511947	0.0656597	1.96048	0.922837	1.05581	0.115903	36.6387	0.774921	7.27596e-012	0	7.10543e-015	-1
0	14	0.0306798	13.4256	0.522303	0.0667434	1.9579	0.918275	1.05949	0.119412	36.4406	0.774345	7.27596e-012	5.68434e-014	1.42109e-014	-1
0	15	0.0370064	13.505	0.546825	0.0689907	1.95272	0.909283	1.0669	0.126335	36.0884	0.773112	7.27596e-012	8.52651e-014	7.10543e-015	-1
0	16	0.0400186	13.5381	0.560289	0.0700897	1.95028	0.905123	1.07041	0.129555	35.9447	0.772465	7.27596e-012	5.68434e-014	0	-1
0	17	0.0429563	13.5684	0.574695	0.0711883	1.94789	0.901124	1.07385	0.132642	35.8206	0.77178	7.27596e-012	5.68434e-014	-7.10543e-015	-1
0	18	0.0459499	13.5978	0.590812	0.0723414	1.94545	0.897097	1.07736	0.135734	35.7114	0.771015	7.27596e-012	8.52651e-014	0	-1
0	19	0.0490344	13.627	0.609107	0.0735722	1.94293	0.892992	1.08101	0.138884	35.6175	0.770131	7.27596e-012	5.68434e-014	7.10543e-015	-1
0	20	0.0520797	13.6551	0.629046	0.0748372	1.94042	0.888978	1.08464	0.141984	35.5442	0.769137	7.27596e-012	5.68434e-014	7.10543e-015	-1
0	21	0.0549424	13.6812	0.649692	0.0760793	1.93804	0.885234	1.08809	0.144897	35.4947	0.768067	7.27596e-012	5.68434e-014	0	-1
0	22	0.0576518	13.7059	0.671129	0.0773091	1.93577	0.881713	1.0914	0.147637	35.4675	0.766918	7.27596e-012	8.52651e-014	0	-1
0	23	0.0632161	13.7575	0.721863	0.0800339	1.93103	0.874542	1.09832	0.153176	35.4785	0.764076	7.27596e-012	5.68434e-014	0	-1
0	24	0.0660732	13.7849	0.752001	0.081558	1.92855	0.870885	1.10196	0.156016	35.524	0.76229	7.27596e-012	5.68434e-014	0	-1
0	25	0.0687412	13.8112	0.783074	0.0830732	1.9262	0.86748	1.10542	0.158688	35.5956	0.760366	7.27596e-012	5.68434e-014	0	-1
0	26	0.0711861	13.8363	0.814346	0.0845513	1.92402	0.864367	1.10865	0.161142	35.6888	0.758361	1.45519e-011	5.68434e-014	0	-1
0	27	0.0735841	13.862	0.847935	0.0860959	1.92186	0.861317	1.11187	0.163528	35.8077	0.756165	7.27596e-012	8.52651e-014	0	-1
0	28	0.0761168	13.8904	0.886939	0.0878442	1.91953	0.858095	1.11534	0.16603	35.9655	0.753571	7.27596e-012	5.68434e-014	0	-1
0	29	0.0787417	13.9216	0.931699	0.0898026	1.91708	0.854751	1.11902	0.168634	36.1703	0.750513	1.45519e-011	5.68434e-014	7.10543e-015	-1
0	30	0.0812083	13.9527	0.978343	0.0918009	1.91472	0.851601	1.12256	0.17112	36.409	0.747215	1.45519e-011	8.52651e-014	7.10543e-015	-1
0	31	0.0854427	14.0114	1.07069	0.0956661	1.91057	0.846153	1.12887	0.175433	36.9396	0.740481	2.91038e-011	8.52651e-014	1.42109e-014	-1
0	32	0.0876106	14.0446	1.12508	0.0979038	1.90838	0.843336	1.13223	0.17762	37.2737	0.736509	2.18279e-011	5.68434e-014	1.42109e-014	-1
0	33	0.0899469	14.0832	1.1901	0.100556	1.90596	0.840268	1.13596	0.17999	37.693	0.731727	2.18279e-011	5.68434e-014	7.10543e-015	-1
0	34	0.0919322	14.1187	1.25136	0.103041	1.90384	0.837628	1.13923	0.182084	38.119	0.727047	2.18279e-011	8.52651e-014	7.10543e-015	-1
0	35	0.093903	14.1568	1.31845	0.105757	1.90169	0.83497	1.14259	0.184143	38.594	0.721998	1.45519e-011	5.68434e-014	7.10543e-015	-1
0	36	0.095902	14.1987	1.39386	0.108812	1.89945	0.832225	1.14612	0.18625	39.1449	0.716328	1.45519e-011	5.68434e-014	0	-1
0	37	0.0978524	14.2435	1.47572	0.112141	1.89719	0.829489	1.1497	0.188345	39.7648	0.710149	1.45519e-011	8.52651e-014	0	-1
0	38	0.101291	14.3336	1.6444	0.119083	1.89299	0.824479	1.15642	0.192157	41.1056	0.697384	7.27596e-012	2.84217e-014	0	-1
0	39	0.102884	14.3812	1.7355	0.122899	1.89094	0.822052	1.15974	0.19396	41.8497	0.690602	1.45519e-011	2.84217e-014	7.10543e-015	-1
0	40	0.104509	14.4346	1.83883	0.127298	1.88876	0.819487	1.1633	0.195827	42.7051	0.683035	1.45519e-011	2.84217e-014	1.42109e-014	-1
